,GLOMICON_AWI_12,GLOMICON_AWI_16,GLOMICON_AWI_20,GLOMICON_AWI_4,GLOMICON_AWI_8,GLOMICON_NOC_10,GLOMICON_NOC_16,GLOMICON_NOC_22,GLOMICON_NOC_3,GLOMICON_NOC_32,GLOMICON_Roscoff_11,GLOMICON_Roscoff_15,GLOMICON_Roscoff_19,GLOMICON_Roscoff_3,GLOMICON_Roscoff_7
GLOMICON_AWI_12,0.0,0.08526800202716867,0.14838465484075453,0.15704802197934878,0.2286735246277393,2.3747614723971453,2.569904035976722,2.379059439829766,2.6062831790867054,2.5039083975391048,2.740263360258392,2.468493848397742,2.1262401364061803,2.495179985517078,2.643843025639788
GLOMICON_AWI_16,0.08526800202716867,0.0,0.19411974516362432,0.20896810601394095,0.15084009920783412,2.3244507849990423,2.5236545757334743,2.3326026034396277,2.566792713083347,2.4589670531526453,2.7144932859279662,2.4386593464592803,2.0820797995143803,2.4712938233433626,2.6217912767888967
GLOMICON_AWI_20,0.14838465484075453,0.19411974516362432,0.0,0.2600969240953047,0.3180578668912023,2.3064953318434345,2.4944210060619905,2.3061081065681424,2.519942113916747,2.426663044232701,2.7644480185751035,2.486976195670567,2.140965423647741,2.5170669341631045,2.667649030162105
GLOMICON_AWI_4,0.15704802197934878,0.20896810601394095,0.2600969240953047,0.0,0.29672545199145595,2.4581442092794683,2.6516314071985363,2.4574382283286216,2.6863952189434164,2.584840322716942,2.666882971564383,2.4070039356179658,2.095955077887014,2.421220238562091,2.5651022848897234
GLOMICON_AWI_8,0.2286735246277393,0.15084009920783412,0.3180578668912023,0.29672545199145595,0.0,2.242374118877273,2.447449188343565,2.2542222242043146,2.501637223606955,2.3846636918109763,2.6086575506830627,2.329155813639107,1.9583087997508475,2.3686206452588885,2.5209527784148396
GLOMICON_NOC_10,2.3747614723971453,2.3244507849990423,2.3064953318434345,2.4581442092794683,2.242374118877273,0.0,0.2426723881976588,0.14398903615646833,0.4391027777724143,0.22585138293334658,2.619724785707442,2.296647890880114,1.7959279928020082,2.4812333692809165,2.6337708314436927
GLOMICON_NOC_16,2.569904035976722,2.5236545757334743,2.4944210060619905,2.6516314071985363,2.447449188343565,0.2426723881976588,0.0,0.2040891550359826,0.24045001165272617,0.08000429809334769,2.715005795028358,2.402194766526683,1.9344798133327403,2.586184404320014,2.732520758342043
GLOMICON_NOC_22,2.379059439829766,2.3326026034396277,2.3061081065681424,2.4574382283286216,2.2542222242043146,0.14398903615646833,0.2040891550359826,0.0,0.34363968336475537,0.1501090318717817,2.5683292514754763,2.248535297391816,1.7698011919128376,2.4288425455473277,2.5794257464305175
GLOMICON_NOC_3,2.6062831790867054,2.566792713083347,2.519942113916747,2.6863952189434164,2.501637223606955,0.4391027777724143,0.24045001165272617,0.34363968336475537,0.0,0.21692329062270332,2.7773986868432177,2.4697184588527326,2.034319064080449,2.643496626121292,2.7872953587210607
GLOMICON_NOC_32,2.5039083975391048,2.4589670531526453,2.426663044232701,2.584840322716942,2.3846636918109763,0.22585138293334658,0.08000429809334769,0.1501090318717817,0.21692329062270332,0.0,2.681904480292853,2.3670320843112784,1.900801124989746,2.5476095045122746,2.695280991111204
GLOMICON_Roscoff_11,2.740263360258392,2.7144932859279662,2.7644480185751035,2.666882971564383,2.6086575506830627,2.619724785707442,2.715005795028358,2.5683292514754763,2.7773986868432177,2.681904480292853,0.0,0.34257782848132085,0.9246873370612592,0.25350907109995025,0.15684092791425114
GLOMICON_Roscoff_15,2.468493848397742,2.4386593464592803,2.486976195670567,2.4070039356179658,2.329155813639107,2.296647890880114,2.402194766526683,2.248535297391816,2.4697184588527326,2.3670320843112784,0.34257782848132085,0.0,0.5940277183068964,0.2207868905460631,0.35432982927923523
GLOMICON_Roscoff_19,2.1262401364061803,2.0820797995143803,2.140965423647741,2.095955077887014,1.9583087997508475,1.7959279928020082,1.9344798133327403,1.7698011919128376,2.034319064080449,1.900801124989746,0.9246873370612592,0.5940277183068964,0.0,0.7811419569608199,0.9379866977832648
GLOMICON_Roscoff_3,2.495179985517078,2.4712938233433626,2.5170669341631045,2.421220238562091,2.3686206452588885,2.4812333692809165,2.586184404320014,2.4288425455473277,2.643496626121292,2.5476095045122746,0.25350907109995025,0.2207868905460631,0.7811419569608199,0.0,0.17082224467373475
GLOMICON_Roscoff_7,2.643843025639788,2.6217912767888967,2.667649030162105,2.5651022848897234,2.5209527784148396,2.6337708314436927,2.732520758342043,2.5794257464305175,2.7872953587210607,2.695280991111204,0.15684092791425114,0.35432982927923523,0.9379866977832648,0.17082224467373475,0.0
