ASV,Davenport_02_0008,Davenport_06_0008,Davenport_11_0008,Davenport_15_0008,Davenport_19_0008,Framstrait_01_0008,Framstrait_05_0008,Framstrait_09_0008,Framstrait_13_0008,Framstrait_17_0008,Bedford_01_0049,Bedford_07_0049,Bedford_13_0049,Bedford_19_0049,Bedford_25_0049,blank_01_0049,bloomMock_01_0049,bloomMock_02_0049,bloomMock_03_0049,bloomMock_04_0049,bloomMock_05_0049,Davenport_02_0049,Davenport_06_0049,Davenport_11_0049,Davenport_15_0049,Davenport_19_0049,evenMock_01_0049,evenMock_02_0049,evenMock_03_0049,evenMock_04_0049,evenMock_05_0049,evenMock_A_0049,evenMock_B_0049,evenMock_C_0049,evenMock_D_0049,evenMock_E_0049,evenMock_F_0049,evenMock_G_0049,evenMock_H_0049,Framstrait_01_0049,Framstrait_05_0049,Framstrait_09_0049,Framstrait_13_0049,Framstrait_17_0049,LaJolla_03_0049,LaJolla_09_0049,LaJolla_15_0049,LaJolla_21_0049,LaJolla_27_0049,Plymouth_06_0049,Plymouth_13_0049,Plymouth_19_0049,Plymouth_29_0049,Plymouth_30_0049,cj-BMk13,cj-BMk15,cj-BMk17,cj-BMk21,cj-BMk25,cj-DAL03,cj-DAL09,cj-DAL15,cj-DAL21,cj-DAL27,cj-EMk03,cj-EMk08,cj-EMk09,cj-EMk15,cj-EMk17,cj-MBA03,cj-MBA07,cj-MBA12,cj-MBA16,cj-MBA20,cj-NOAA07,cj-NOAA13,cj-NOAA18,cj-NOAA24,cj-NOAA30,cj-ROS01,cj-ROS05,cj-ROS09,cj-ROS13,cj-ROS17,cj-SOC05,cj-SOC12,cj-SOC18,cj-SOC24,cj-SOC28,CN18Sc37_12_Rep_Stdy5_AO,CN18Sc37_12_Rep_Stdy10_AO,CN18Sc37_12_Rep_Stdy14_AO,CN18Sc37_12_Rep_Stdy18_AO,CN18Sc37_12_Rep_Stdy22_AO,NOAA11_AO,NOAA14_AO,NOAA20_AO,AWIMOCKBLOOM7_AO,AWIMOCKBLOOM8_AO,AWIMOCKBLOOM16_AO,AWIMOCKBLOOM18_AO,AWIMOCKBLOOM28_AO,NOC2_AO,NOC9_AO,NOC12_AO,NOC31_AO,NOC51_AO,UDalhousie2_AO,UDalhousie8_AO,UDalhousie14_AO,UDalhousie20_AO,UDalhousie26_AO,AWIMOCKEVEN1_AO,AWIMOCKEVEN2_AO,AWIMOCKEVEN3_AO,AWIMOCKEVEN4_AO,AWIMOCKEVEN5_AO
ASV_11,3505.0,6511.0,4430.0,12343.0,12126.0,79.0,77.0,28.0,36.0,12.0,6.0,22.0,7.0,15.0,8.0,1.0,3.0,127.0,7.0,2.0,3.0,14829.0,22112.0,9119.0,16239.0,14888.0,3.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,7.0,8.0,102.0,185.0,149.0,105.0,68.0,5.0,8.0,4.0,3.0,8.0,6.0,6.0,3.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASV_12,0.0,2.0,1.0,2.0,3.0,7.0,3.0,0.0,1.0,1.0,4405.0,2252.0,2045.0,1648.0,1472.0,845.0,514.0,644.0,520.0,382.0,652.0,14.0,11.0,8.0,9.0,20.0,4389.0,3748.0,3463.0,4537.0,3728.0,10782.0,11559.0,9614.0,9198.0,10944.0,8720.0,9110.0,7184.0,8.0,13.0,4.0,7.0,6.0,574.0,759.0,269.0,351.0,567.0,111.0,162.0,76.0,122.0,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASV_13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22534.0,25588.0,20551.0,23122.0,11040.0,910.0,529.0,788.0,40.0,26.0,26.0,43.0,28.0,258.0,225.0,304.0,175.0,228.0,2085.0,599.0,1699.0,2218.0,926.0,23.0,21.0,10.0,11.0,22.0
ASV_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,18.0,1.0,1.0,10.0,558.0,2495.0,2615.0,2703.0,1854.0,3094.0,14.0,3.0,5.0,15.0,18.0,4107.0,4112.0,3366.0,4800.0,3804.0,8.0,16658.0,15525.0,9947.0,12815.0,13538.0,241.0,9345.0,3.0,2.0,7.0,3.0,3.0,23.0,14.0,15.0,13.0,12.0,24.0,31.0,11.0,24.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASV_15,407.0,1254.0,3512.0,449.0,6201.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,169.0,16.0,1.0,3.0,70.0,1.0,0.0,1.0,1204.0,3969.0,7425.0,550.0,5675.0,0.0,1.0,1.0,3.0,1.0,3.0,4.0,3.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,5349.0,6298.0,7749.0,2318.0,14508.0,5822.0,805.0,12836.0,74.0,16051.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASV_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,2.0,11.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,277.0,23.0,53477.0,38009.0,8242.0,10.0,9.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASV_17,88.0,255.0,101.0,232.0,53.0,8686.0,7294.0,2222.0,5506.0,4741.0,3.0,3.0,3.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,302.0,694.0,180.0,391.0,59.0,1.0,1.0,2.0,3.0,1.0,4.0,0.0,1.0,0.0,1.0,14.0,11.0,7.0,9371.0,10711.0,9753.0,10356.0,9884.0,23.0,40.0,37.0,20.0,23.0,3149.0,2487.0,3007.0,3074.0,3272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASV_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,24.0,6.0,1.0,10.0,1001.0,13388.0,15065.0,14019.0,10163.0,15492.0,4.0,5.0,3.0,14.0,37.0,5016.0,4685.0,3749.0,5379.0,4304.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,20.0,7.0,13.0,7.0,4.0,15.0,40.0,21.0,28.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASV_19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,3.0,5.0,7.0,5.0,3486.0,2354.0,2737.0,3413.0,3425.0,0.0,0.0,6.0,5.0,8.0,5.0,9.0,3.0,2.0,16.0,14754.0,14990.0,13900.0,14086.0,15718.0
ASV_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,37.0,9.0,12.0,13.0,586.0,1193.0,1442.0,1210.0,826.0,1223.0,67.0,47.0,27.0,47.0,54.0,3267.0,2659.0,2419.0,3496.0,2656.0,7180.0,6832.0,6111.0,6408.0,6791.0,5758.0,6172.0,4.0,3.0,1.0,0.0,0.0,1.0,185.0,279.0,123.0,133.0,305.0,1879.0,2553.0,1594.0,1911.0,1958.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
