ASV,domain,supergroup,division,subdivision,class,order,family,genus,species,domain_boot,supergroup_boot,division_boot,subdivision_boot,class_boot,order_boot,family_boot,genus_boot,species_boot
ASV_3459,Eukaryota,TSAR,Rhizaria,Cercozoa,Filosa-Thecofilosea,Ventricleftida,CCW10-lineage,CCW10-lineage_X,CCW10-lineage_X_sp.,100,100,100,100,100,100,100,100,100
ASV_3460,Eukaryota,TSAR,Rhizaria,Cercozoa,Filosa-Imbricatea,Marimonadida,Marimonadida_X,Marimonadida_XX,Marimonadida_XX_sp.,100,100,100,100,100,100,100,100,100
ASV_3461,Eukaryota,TSAR,Stramenopiles,Gyrista,Bacillariophyceae,Naviculales,Pleurosigmataceae,Pleurosigma,Pleurosigma_sp.,100,100,100,100,100,100,100,100,100
ASV_3462,Eukaryota,TSAR,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,Lecudinidae,Lankesteria,Lankesteria_chelyosomae,100,100,100,100,100,100,100,100,100
ASV_3463,Eukaryota,Excavata,Discoba,Euglenozoa,,,,,,98,76,76,76,40,9,9,9,9
ASV_3464,Eukaryota,TSAR,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,Lecudinidae,Lankesteria,Lankesteria_chelyosomae,100,100,100,100,100,100,100,99,73
ASV_3466,Eukaryota,TSAR,Alveolata,Ciliophora,Spirotrichea,Choreotrichida,Choreotrichida_X,Choreotrichida_XX,Choreotrichida_XX_sp.,100,100,100,100,100,100,100,100,100
ASV_3467,Eukaryota:nucl,Cryptista:nucl,Cryptophyta:nucl,Cryptophyta_X:nucl,Cryptophyceae:nucl,Cryptomonadales:nucl,Hemiselmidaceae:nucl,Hemiselmis:nucl,Hemiselmis_cryptochromatica:nucl,100,100,100,100,100,100,100,95,95
ASV_3468,Eukaryota,TSAR,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-16,Dino-Group-II-Clade-16_X,Dino-Group-II-Clade-16_X_sp.,100,100,100,100,100,100,100,100,100
ASV_3469,Eukaryota,TSAR,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-4,Dino-Group-I-Clade-4_X,Dino-Group-I-Clade-4_X_sp.,100,100,100,100,100,100,100,100,100
ASV_3470,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Blastodiniaceae,Blastodinium,Blastodinium_contortum,100,100,100,100,100,62,62,62,62
ASV_3472,Eukaryota,TSAR,Stramenopiles,Gyrista,Peronosporomycetes,Peronosporomycetes_X,,,,100,96,95,92,89,89,38,26,5
ASV_3473,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,,,,100,100,100,100,100,67,48,41,27
ASV_3474,Eukaryota,Haptista,Haptophyta,Haptophyta_X,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis_globosa,100,100,100,100,100,100,100,100,99
ASV_3475,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium_sp.,100,100,100,100,100,99,93,82,81
ASV_3476,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_XX,Chrysophyceae_XXX,Chrysophyceae_XXX_sp.,100,100,100,100,100,98,98,98,98
ASV_3477,Eukaryota,Obazoa,Opisthokonta,Fungi,Rozellomycota,Rozellomycota_X,Rozellomycota_XX,Rozellomycota_XXX,Rozellomycota_XXX_sp.,100,100,100,100,100,100,100,100,100
ASV_3478,Eukaryota,TSAR,Rhizaria,Cercozoa,,,,,,100,100,100,100,37,37,37,37,37
ASV_3480,Eukaryota,Obazoa,Opisthokonta,Metazoa,Bryozoa,Bryozoa_X,Bryozoa_XX,Crisia,Crisia_sp.,100,100,100,100,100,100,100,99,97
ASV_3482,Eukaryota,TSAR,Alveolata,Ciliophora,Spirotrichea,Choreotrichida,Choreotrichida_X,Choreotrichida_XX,Choreotrichida_XX_sp.,100,100,100,100,100,100,100,100,100
ASV_3483,Eukaryota,Obazoa,Opisthokonta,Choanoflagellata,Choanoflagellatea,Craspedida,Monosigidae_Group_A,Choanoeca,Choanoeca_perplexa,100,100,100,100,100,100,100,100,100
ASV_3484,Eukaryota,TSAR,Rhizaria,Radiolaria,Acantharea,Acantharea_D,Acantharea_D1,Trizoma,Trizoma_brandti,100,98,98,98,98,81,79,79,79
ASV_3485,Eukaryota,TSAR,Alveolata,Ciliophora,Spirotrichea,Choreotrichida,Strombidinopsidae,Strombidinopsis,Strombidinopsis_acuminata,100,100,100,100,100,100,100,100,99
ASV_3486,Eukaryota,TSAR,Rhizaria,Cercozoa,Filosa-Imbricatea,Filosa-Imbricatea_X,Novel-clade-2,Novel-clade-2_X,Novel-clade-2_X_sp.,100,100,100,100,100,100,100,100,100
ASV_3487,Eukaryota,TSAR,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-III,Dino-Group-III_X,Dino-Group-III_XX,Dino-Group-III_XX_sp.,100,100,100,100,100,100,100,100,100
ASV_3488,Eukaryota,TSAR,Stramenopiles,Gyrista,Dictyochophyceae,Dictyochophyceae_X,Pedinellales,,,100,99,99,99,98,98,92,42,42
ASV_3489,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Mamiellophyceae,Dolichomastigales,,,,100,81,68,68,58,54,34,34,16
ASV_3490,Eukaryota,TSAR,Rhizaria,Cercozoa,Filosa-Thecofilosea,Cryomonadida,Protaspa-lineage,Protaspa,Protaspa_longipes,100,77,76,76,76,74,59,59,53
ASV_3491,Eukaryota,TSAR,Alveolata,Ciliophora,Oligohymenophorea,Scuticociliatia_1,Philasterida,,,100,99,99,98,88,69,52,5,5
ASV_3492,Eukaryota,Obazoa,Opisthokonta,Metazoa,,,,,,99,79,79,76,4,4,4,1,1
ASV_3494,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,,,,,100,100,100,100,100,41,41,41,41
ASV_3495,Eukaryota,TSAR,Stramenopiles,Gyrista,MOCH-2,MOCH-2_X,MOCH-2_XX,MOCH-2_XXX,MOCH-2_XXX_sp.,100,100,100,100,98,98,98,98,98
ASV_3496,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo_sanguinea,100,100,100,100,100,100,100,100,100
ASV_3497,Eukaryota,TSAR,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-12,Dino-Group-II-Clade-12_X,Dino-Group-II-Clade-12_X_sp.,100,100,100,100,100,100,99,99,99
ASV_3498,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,,100,100,100,100,100,100,100,100,47
ASV_3500,Eukaryota,TSAR,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-1,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1_X_sp.,100,100,100,100,100,100,100,100,100
ASV_3501,Eukaryota,Obazoa,Opisthokonta,,,,,,,99,94,94,27,27,27,27,26,26
ASV_3502,Eukaryota,TSAR,,,,,,,,98,53,46,28,18,18,18,18,18
ASV_3503,Eukaryota,Archaeplastida,Picozoa,Picozoa_subdivision_3,Picozoa_subdivision_3_X,Picozoa_subdivision_3_XX,Picozoa_subdivision_3_XXX,Picozoa_subdivision_3_XXXX,Picozoa_subdivision_3_XXXX_sp.,100,100,100,99,99,99,99,99,99
ASV_3504,Eukaryota,Cryptista,Kathablepharidacea,Kathablepharida,Kathablepharidea,Kathablepharidida,Kathablepharidida_X,Kathablepharidida_XX,Kathablepharidida_XX_sp.,100,100,100,100,100,100,100,89,89
ASV_3505,Eukaryota,TSAR,Rhizaria,Cercozoa,Filosa-Thecofilosea,Cryomonadida,Protaspa-lineage,Protaspa-lineage_X,Protaspa-lineage_X_sp.,100,100,100,100,100,100,100,97,97
ASV_3506,Eukaryota,TSAR,Rhizaria,Radiolaria,Polycystinea,Spumellaria,Spumellaria_1,Spumellaria_1_X,Spumellaria_1_X_sp.,100,100,100,100,100,100,99,99,99
ASV_3507,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,,,,,100,100,100,100,100,12,12,12,12
ASV_3508,Bacteria,PVC,Planctomycetes,Planctomycetes_X,Planctomycetacia,Pirellulales,Pirellulaceae,Termite_planctomycete_cluster,Termite_planctomycete_cluster_sp.,79,69,68,68,68,55,55,54,54
ASV_3509,Eukaryota,Obazoa,Opisthokonta,,,,,,,100,99,99,47,47,42,30,30,30
ASV_3510,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Thoracosphaeraceae,Scrippsiella,Scrippsiella_acuminata,100,100,100,100,100,62,62,62,54
ASV_3511,Eukaryota,TSAR,Stramenopiles,Gyrista,Coscinodiscophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,Actinocyclus_sp.,100,100,100,100,100,100,100,96,96
ASV_3512,Eukaryota,TSAR,Stramenopiles,Gyrista,Bacillariophyceae,Naviculales,,,,100,100,100,100,83,51,41,39,35
ASV_3513,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium_fusiforme,100,100,100,100,100,90,90,86,51
ASV_3514,Eukaryota,TSAR,Stramenopiles,Gyrista,Mediophyceae,Eupodiscales,Odontellaceae,Odontella,Odontella_rostrata,100,77,77,77,59,59,59,59,59
ASV_3515,Eukaryota,TSAR,Alveolata,Ciliophora,Oligohymenophorea,Peritrichia_2,,,,100,100,100,100,100,100,45,45,45
ASV_3516,Eukaryota,TSAR,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-12,Dino-Group-II-Clade-12_X,Dino-Group-II-Clade-12_X_sp.,100,100,100,100,100,100,100,100,100
ASV_3517,Eukaryota,TSAR,Stramenopiles,Bigyra,Sagenista,Sagenista_X,MAST-8,MAST-8A,MAST-8A_sp.,100,100,100,100,100,100,100,100,100
ASV_3518,Eukaryota,Obazoa,Opisthokonta,Choanoflagellata,Choanoflagellatea,Acanthoecida,Stephanoecidae_Group_H,Stephanoecidae_Group_H_X,Stephanoecidae_Group_H_X_sp.,100,100,100,100,100,100,100,99,99
ASV_3519,Eukaryota,,,,,,,,,86,34,32,28,27,19,13,13,4
ASV_3520,Eukaryota,Obazoa,Opisthokonta,Fungi,,,,,,100,98,98,60,13,6,4,4,0
ASV_3521,Eukaryota,Obazoa,Opisthokonta,Choanoflagellata,Choanoflagellatea,Acanthoecida,Stephanoecidae_Group_H,Stephanoecidae_Group_H_X,Stephanoecidae_Group_H_X_sp.,100,100,100,100,100,100,97,85,85
ASV_3523,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,,96,89,89,87,87,84,84,84,39
ASV_3524,Eukaryota,TSAR,Stramenopiles,Gyrista,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,Rhizosolenia_imbricata,100,100,100,100,100,100,100,100,85
ASV_3525,Eukaryota,TSAR,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-13,Dino-Group-II-Clade-13_X,Dino-Group-II-Clade-13_X_sp.,100,100,100,100,100,100,100,100,100
ASV_3526,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium_fusiforme,100,100,100,100,100,86,86,84,82
ASV_3527,Eukaryota,TSAR,Stramenopiles,Gyrista,Pelagophyceae,Pelagomonadales,Pelagomonadaceae,Pelagococcus,Pelagococcus_subviridis,100,100,100,100,100,100,100,99,99
ASV_3528,Eukaryota,TSAR,Stramenopiles,Gyrista,Mediophyceae,Cymatosirales,Cymatosiraceae,Arcocellulus,Arcocellulus_mammifer,100,100,100,100,100,100,100,87,85
ASV_3529,Eukaryota,,,,,,,,,86,30,25,18,16,14,12,10,3
ASV_3530,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,,,,100,100,100,100,96,70,27,13,13
ASV_3531,Eukaryota,TSAR,Stramenopiles,Gyrista,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,Melosira_arctica,100,100,90,90,90,90,90,90,55
ASV_3532,Eukaryota,TSAR,Alveolata,Ciliophora,Spirotrichea,Choreotrichida-Tintinnina,Tintinnidiidae,Antetintinnidium,Antetintinnidium_mucicola,100,100,100,100,100,100,100,100,100
ASV_3533,Eukaryota,TSAR,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-6,Dino-Group-II-Clade-6_X,Dino-Group-II-Clade-6_X_sp.,100,88,88,86,80,80,78,78,78
ASV_3534,Eukaryota,Archaeplastida,Rhodophyta,Eurhodophytina,Florideophyceae,Ceramiales,Ceramiaceae,Ceramium,Ceramium_virgatum,100,100,100,100,100,98,98,98,98
ASV_3536,Eukaryota,Obazoa,Opisthokonta,,,,,,,97,96,96,36,36,32,18,14,14
ASV_3540,Eukaryota,TSAR,Stramenopiles,Gyrista,Gyrista_X,Gyrista_XX,MAST-1,MAST-1C,MAST-1C_sp.,100,100,100,100,100,100,100,100,100
