Feature ID	Taxon	Confidence
4da00b3c678491b52d621d9803d32394	Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Thalassiosirales;Thalassiosiraceae;Conticribra;Conticribra_weissflogii;	0.9934547530296344
be8e6447cfe293b7b06b490e683b687d	Eukaryota;TSAR;Stramenopiles;Gyrista;Coscinodiscophyceae;Melosirales;Melosiraceae;Melosira	0.9144377314333197
ebef488bfd8a2d5b2fbb9ae39b23c855	Eukaryota;TSAR;Stramenopiles;Gyrista;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia_seriata;	0.9991416687179385
1b13e125454669ac7f22760665bcbdc0	Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae	0.999602978016237
b31af75d9e4e328b07bed6e332e2b3ca	Eukaryota	0.9937874923512996
36aa75f9b28f5f831c2d631ba65c2bcb	Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda	0.9999999999094414
895d9c26ccc4914bd1999237529c6f98	Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;Pyramimonas;Pyramimonas_parkeae;	0.9990233287781987
45a4e1cbb094a62e738de5145cc40131	Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas_polaris;	0.7774630452770599
ecee60339b2fb88ea6d1c8d18054bed4	Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae	0.9996383713806549
7023fe5b29138b05a8f5824a603534a9	Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira_curviseriata;	0.8452808837393285
a20bdb9093280e7dcab0fe5c4b612151	Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Kareniaceae;Karlodinium	0.8186892587741007
0859fc4333af38708b264e92883c6cbe	Eukaryota	0.9924245105264948
e872a8f2c3a2053d51d09eb9a0562fc5	Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Maxillopoda_X;Maxillopoda_X_sp.;	0.9440013232022433
a630a688f5ee171420476264218a9833	Eukaryota;Haptista;Haptophyta;Haptophyta_X;Prymnesiophyceae;Phaeocystales;Phaeocystaceae;Phaeocystis	0.9999999959948743
40065584a61558f016834a665a3d30d7	Eukaryota;Haptista;Haptophyta;Haptophyta_X;Prymnesiophyceae;Isochrysidales;Isochrysidaceae;Isochrysis;Isochrysis_galbana;	0.984904640345444
56a2b4f907e803f393befbfc5c7ef45a	Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros_gracilis;	0.9657514829407718
bf2f4c874e5aaecc9442553e0929b63d	Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Paracalanus;Paracalanus_parvus;	0.9983928389970935
947061b2c8fc2e9c80fc4262a071b632	Eukaryota;Obazoa;Opisthokonta;Metazoa;Urochordata;Urochordata_X;Appendicularia;Oikopleura	0.9999999979183412
8f3018e49f8e9815180d7cf50b2f31bc	Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea;Oligotrichida	0.9096519489237588
c6958412232ff8f593831114466e4f38	Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas_commoda_A2;	0.7516660786183197
d785682c0a83be9275e095d76cabbe36	Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae	0.9995834789104221
6570ce9a7d0ca22bc9185edc272d7507	Eukaryota	0.9938686048837847
4f612d763079035ec0c5c0e9c853ac93	Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea;Oligotrichida	0.999999997822851
9f8c0544a864bb0f0a14a4b747f18eaf	Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Mamiellophyceae;Mamiellales;Bathycoccaceae;Ostreococcus;Ostreococcus_lucimarinus;	0.8545666808642912
de2d3ede8a2abbca8e071ddf9a9a2c45	Eukaryota	0.9936146343449103
14fb6fad5a6731864fe5f0333b403357	Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa	0.9240978359554977
0ddf7cc471083d339318491b4f2c8bbf	Eukaryota;Haptista;Haptophyta;Haptophyta_X;Prymnesiophyceae	0.999999984514562
abeb0220e003c5fd9d50c2a8591f8d72	Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gyrodinium;Gyrodinium_fusiforme;	0.9776748947346221
11345239a7c41ba0048aec884a77e479	Eukaryota;Obazoa;Opisthokonta;Metazoa;Mollusca;Bivalvia;Mytiloida;Musculus;Musculus_cupreus;	0.9997776072117567
ecc1599d1d8a029f4d3dce8cf1690229	Eukaryota;TSAR;Stramenopiles;Gyrista;Pelagophyceae;Pelagomonadales;Pelagomonadaceae;Aureococcus;Aureococcus_anophagefferens;	0.991202206046994
1e2bfbbabbeacfc9b1fda47a134de2b4	Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Mamiellophyceae;Mamiellales;Bathycoccaceae;Bathycoccus;Bathycoccus_prasinos;	0.9999999654120449
accb4993b17e5f655ee793b79333ecd2	Eukaryota	0.993124101853495
