"Samples"	"orderplot"	"sampleplot"	"nreads"	"nasvs"
"ROS-ROS09"	"Dinophyceae_X"	"ROS-ROS09"	839	101
"ROS-MBA03"	"Bacillariophyta_X"	"ROS-MBA03"	347	21
"ROS-MBA07"	"Bacillariophyta_X"	"ROS-MBA07"	690	16
"ROS-MBA20"	"Bacillariophyta_X"	"ROS-MBA20"	440	21
"ROS-ROS01"	"Bacillariophyta_X"	"ROS-ROS01"	1016	77
"ROS-ROS05"	"Bacillariophyta_X"	"ROS-ROS05"	428	49
"ROS-DAL03"	"Ebriida"	"ROS-DAL03"	25	11
"ROS-DAL27"	"Ebriida"	"ROS-DAL27"	32	12
"ROS-DAL03"	"Isochrysidales"	"ROS-DAL03"	1024	2
"ROS-DAL09"	"Isochrysidales"	"ROS-DAL09"	530	5
"ROS-DAL15"	"Isochrysidales"	"ROS-DAL15"	668	4
"ROS-DAL27"	"Isochrysidales"	"ROS-DAL27"	840	2
"ROS-NOAA30"	"Isochrysidales"	"ROS-NOAA30"	80	2
"ROS-ROS05"	"Isochrysidales"	"ROS-ROS05"	47	2
"ROS-ROS13"	"Isochrysidales"	"ROS-ROS13"	118	2
"ROS-SOC24"	"Isochrysidales"	"ROS-SOC24"	9	2
"ROS-DAL21"	"Cryptomonadales"	"ROS-DAL21"	738	8
"ROS-NOAA13"	"Cryptomonadales"	"ROS-NOAA13"	418	11
"ROS-DAL03"	"Gymnodiniales"	"ROS-DAL03"	213	16
"ROS-DAL15"	"Gymnodiniales"	"ROS-DAL15"	120	7
"ROS-SOC18"	"Gymnodiniales"	"ROS-SOC18"	374	14
"ROS-DAL27"	"Strombidiida"	"ROS-DAL27"	59	13
"ROS-SOC12"	"Strombidiida"	"ROS-SOC12"	361	37
"ROS-SOC18"	"Strombidiida"	"ROS-SOC18"	174	25
"ROS-BMk21"	"Peridiniales"	"ROS-BMk21"	28	9
"ROS-EMk09"	"Peridiniales"	"ROS-EMk09"	18	10
"ROS-EMk15"	"Peridiniales"	"ROS-EMk15"	37	11
"ROS-MBA12"	"Dinophyceae_X"	"ROS-MBA12"	1225	34
"ROS-EMk03"	"Phaeocystales"	"ROS-EMk03"	869	23
"ROS-DAL03"	"Dinophyceae_X"	"ROS-DAL03"	1117	49
"ROS-DAL09"	"Dinophyceae_X"	"ROS-DAL09"	1452	49
"ROS-DAL21"	"Dinophyceae_X"	"ROS-DAL21"	1643	46
"ROS-ROS05"	"Gymnodiniales"	"ROS-ROS05"	313	17
"ROS-ROS13"	"Gymnodiniales"	"ROS-ROS13"	281	14
"ROS-ROS17"	"Gymnodiniales"	"ROS-ROS17"	173	11
"ROS-DAL09"	"Cryptomonadales"	"ROS-DAL09"	654	8
"ROS-SOC05"	"Strombidiida"	"ROS-SOC05"	221	31
"ROS-SOC24"	"Strombidiida"	"ROS-SOC24"	142	28
"ROS-SOC28"	"Strombidiida"	"ROS-SOC28"	144	24
"ROS-NOAA07"	"Suessiales"	"ROS-NOAA07"	4	3
"ROS-NOAA13"	"Suessiales"	"ROS-NOAA13"	17	11
"ROS-NOAA18"	"Suessiales"	"ROS-NOAA18"	10	8
"ROS-NOAA24"	"Suessiales"	"ROS-NOAA24"	5	4
"ROS-NOAA13"	"Strombidiida"	"ROS-NOAA13"	142	6
"ROS-SOC12"	"Dinophyceae_X"	"ROS-SOC12"	1315	74
"ROS-SOC28"	"Dinophyceae_X"	"ROS-SOC28"	1337	70
"ROS-BMk21"	"Phaeocystales"	"ROS-BMk21"	11829	62
"ROS-BMk15"	"Prymnesiales"	"ROS-BMk15"	662	23
"ROS-BMk17"	"Prymnesiales"	"ROS-BMk17"	411	11
"ROS-DAL27"	"Gymnodiniales"	"ROS-DAL27"	278	15
"ROS-SOC24"	"Gymnodiniales"	"ROS-SOC24"	344	9
"ROS-SOC24"	"Ebriida"	"ROS-SOC24"	5	2
"ROS-MBA07"	"Others"	"ROS-MBA07"	469	24
"ROS-MBA16"	"Others"	"ROS-MBA16"	346	17
"ROS-MBA20"	"Others"	"ROS-MBA20"	415	17
"ROS-BMk15"	"Isochrysidales"	"ROS-BMk15"	104	16
"ROS-EMk08"	"Isochrysidales"	"ROS-EMk08"	556	22
"ROS-EMk09"	"Isochrysidales"	"ROS-EMk09"	788	21
"ROS-EMk17"	"Isochrysidales"	"ROS-EMk17"	903	28
"ROS-BMk13"	"Dinophyceae_X"	"ROS-BMk13"	70	41
"ROS-BMk15"	"Dinophyceae_X"	"ROS-BMk15"	54	36
"ROS-ROS13"	"Dinophyceae_X"	"ROS-ROS13"	756	92
"ROS-NOAA07"	"Dino-Group-I"	"ROS-NOAA07"	720	23
"ROS-NOAA13"	"Dino-Group-I"	"ROS-NOAA13"	403	18
"ROS-NOAA18"	"Dino-Group-I"	"ROS-NOAA18"	398	17
"ROS-NOAA30"	"Dino-Group-I"	"ROS-NOAA30"	628	18
"ROS-EMk09"	"Others"	"ROS-EMk09"	36	20
"ROS-DAL03"	"Dino-Group-I"	"ROS-DAL03"	200	13
"ROS-DAL09"	"Dino-Group-I"	"ROS-DAL09"	136	9
"ROS-DAL21"	"Dino-Group-I"	"ROS-DAL21"	137	8
"ROS-DAL27"	"Dino-Group-I"	"ROS-DAL27"	175	9
"ROS-DAL03"	"Dino-Group-II"	"ROS-DAL03"	820	43
"ROS-DAL09"	"Dino-Group-II"	"ROS-DAL09"	725	42
"ROS-DAL15"	"Dino-Group-II"	"ROS-DAL15"	424	26
"ROS-DAL21"	"Dino-Group-II"	"ROS-DAL21"	836	40
"ROS-DAL27"	"Dino-Group-II"	"ROS-DAL27"	993	51
"ROS-NOAA13"	"Dino-Group-II"	"ROS-NOAA13"	257	37
"ROS-BMk25"	"Dinophyceae_X"	"ROS-BMk25"	25	21
"ROS-EMk17"	"Dinophyceae_X"	"ROS-EMk17"	74	38
"ROS-BMk15"	"Phaeocystales"	"ROS-BMk15"	12605	50
"ROS-EMk08"	"Phaeocystales"	"ROS-EMk08"	863	39
"ROS-EMk09"	"Phaeocystales"	"ROS-EMk09"	963	27
"ROS-EMk17"	"Phaeocystales"	"ROS-EMk17"	1151	28
"ROS-SOC12"	"Bacillariophyta_X"	"ROS-SOC12"	971	53
"ROS-BMk13"	"Peridiniales"	"ROS-BMk13"	22	10
"ROS-BMk15"	"Peridiniales"	"ROS-BMk15"	644	9
"ROS-BMk17"	"Peridiniales"	"ROS-BMk17"	27	6
"ROS-BMk25"	"Peridiniales"	"ROS-BMk25"	13	4
"ROS-EMk03"	"Peridiniales"	"ROS-EMk03"	24	11
"ROS-EMk17"	"Peridiniales"	"ROS-EMk17"	36	11
"ROS-ROS17"	"Dinophyceae_X"	"ROS-ROS17"	663	98
"ROS-SOC18"	"Dinophyceae_X"	"ROS-SOC18"	1745	75
"ROS-ROS01"	"Cryomonadida"	"ROS-ROS01"	122	18
"ROS-ROS13"	"Cryomonadida"	"ROS-ROS13"	102	19
"ROS-ROS17"	"Cryomonadida"	"ROS-ROS17"	131	22
"ROS-SOC24"	"Dinophyceae_X"	"ROS-SOC24"	1368	72
"ROS-DAL09"	"Prorocentrales"	"ROS-DAL09"	43	10
"ROS-DAL21"	"Prorocentrales"	"ROS-DAL21"	47	7
"ROS-ROS01"	"Prorocentrales"	"ROS-ROS01"	14	5
"ROS-ROS09"	"Prorocentrales"	"ROS-ROS09"	15	6
"ROS-ROS01"	"Cryptomonadales"	"ROS-ROS01"	758	18
"ROS-SOC24"	"Cryptomonadales"	"ROS-SOC24"	240	12
"ROS-EMk15"	"Isochrysidales"	"ROS-EMk15"	913	11
"ROS-BMk13"	"Mamiellales"	"ROS-BMk13"	13	6
"ROS-BMk15"	"Mamiellales"	"ROS-BMk15"	21	10
"ROS-BMk21"	"Mamiellales"	"ROS-BMk21"	10	4
"ROS-SOC24"	"Bacillariophyta_X"	"ROS-SOC24"	897	50
"ROS-EMk03"	"Isochrysidales"	"ROS-EMk03"	485	21
"ROS-NOAA30"	"Prymnesiales"	"ROS-NOAA30"	84	13
"ROS-SOC24"	"Prymnesiales"	"ROS-SOC24"	454	23
"ROS-DAL21"	"Bacillariophyta_X"	"ROS-DAL21"	324	34
"ROS-DAL21"	"Gymnodiniales"	"ROS-DAL21"	298	14
"ROS-ROS01"	"Filosa-Imbricatea_X"	"ROS-ROS01"	554	20
"ROS-SOC18"	"Prymnesiales"	"ROS-SOC18"	629	15
"ROS-SOC05"	"Dinophyceae_X"	"ROS-SOC05"	1243	76
"ROS-EMk09"	"Suessiales"	"ROS-EMk09"	27	10
"ROS-EMk17"	"Suessiales"	"ROS-EMk17"	69	12
"ROS-ROS09"	"Gymnodiniales"	"ROS-ROS09"	278	15
"ROS-ROS05"	"Cryomonadida"	"ROS-ROS05"	44	9
"ROS-ROS09"	"Cryomonadida"	"ROS-ROS09"	80	14
"ROS-EMk03"	"Prymnesiales"	"ROS-EMk03"	1144	23
"ROS-EMk08"	"Prymnesiales"	"ROS-EMk08"	1086	19
"ROS-EMk09"	"Prymnesiales"	"ROS-EMk09"	1309	19
"ROS-DAL09"	"Gymnodiniales"	"ROS-DAL09"	264	13
"ROS-NOAA07"	"Gymnodiniales"	"ROS-NOAA07"	498	15
"ROS-NOAA13"	"Gymnodiniales"	"ROS-NOAA13"	1207	30
"ROS-NOAA18"	"Gymnodiniales"	"ROS-NOAA18"	818	23
"ROS-NOAA24"	"Gymnodiniales"	"ROS-NOAA24"	1074	21
"ROS-NOAA30"	"Gymnodiniales"	"ROS-NOAA30"	1223	23
"ROS-ROS01"	"Gymnodiniales"	"ROS-ROS01"	530	22
"ROS-SOC05"	"Gymnodiniales"	"ROS-SOC05"	389	5
"ROS-SOC12"	"Gymnodiniales"	"ROS-SOC12"	378	6
"ROS-SOC28"	"Gymnodiniales"	"ROS-SOC28"	422	7
"ROS-BMk21"	"Dinophyceae_X"	"ROS-BMk21"	59	38
"ROS-DAL03"	"Peridiniales"	"ROS-DAL03"	13	5
"ROS-DAL21"	"Peridiniales"	"ROS-DAL21"	17	8
"ROS-NOAA07"	"Peridiniales"	"ROS-NOAA07"	94	11
"ROS-SOC12"	"Peridiniales"	"ROS-SOC12"	9	7
"ROS-SOC28"	"Peridiniales"	"ROS-SOC28"	7	5
"ROS-EMk15"	"Prymnesiales"	"ROS-EMk15"	1690	16
"ROS-DAL15"	"Peridiniales"	"ROS-DAL15"	24	5
"ROS-DAL27"	"Peridiniales"	"ROS-DAL27"	41	10
"ROS-EMk03"	"Suessiales"	"ROS-EMk03"	31	8
"ROS-ROS17"	"Bacillariophyta_X"	"ROS-ROS17"	731	63
"ROS-EMk03"	"Dinophyceae_X"	"ROS-EMk03"	66	31
"ROS-EMk08"	"Dinophyceae_X"	"ROS-EMk08"	66	40
"ROS-NOAA24"	"Bacillariophyta_X"	"ROS-NOAA24"	402	37
"ROS-DAL09"	"Peridiniales"	"ROS-DAL09"	15	5
"ROS-ROS05"	"Cryptomonadales"	"ROS-ROS05"	796	16
"ROS-SOC05"	"Cryptomonadales"	"ROS-SOC05"	349	17
"ROS-SOC12"	"Cryptomonadales"	"ROS-SOC12"	317	20
"ROS-SOC18"	"Cryptomonadales"	"ROS-SOC18"	449	16
"ROS-MBA03"	"Strombidiida"	"ROS-MBA03"	9	2
"ROS-MBA12"	"Strombidiida"	"ROS-MBA12"	15	4
"ROS-MBA16"	"Strombidiida"	"ROS-MBA16"	7	4
"ROS-NOAA18"	"Bacillariophyta_X"	"ROS-NOAA18"	405	38
"ROS-DAL03"	"Crustacea"	"ROS-DAL03"	3	3
"ROS-DAL15"	"Crustacea"	"ROS-DAL15"	348	8
"ROS-DAL21"	"Crustacea"	"ROS-DAL21"	12	4
"ROS-DAL27"	"Crustacea"	"ROS-DAL27"	453	6
"ROS-ROS01"	"Crustacea"	"ROS-ROS01"	338	5
"ROS-ROS09"	"Crustacea"	"ROS-ROS09"	3	1
"ROS-ROS13"	"Crustacea"	"ROS-ROS13"	3	2
"ROS-SOC05"	"Crustacea"	"ROS-SOC05"	373	13
"ROS-SOC24"	"Crustacea"	"ROS-SOC24"	3371	6
"ROS-DAL15"	"Ebriida"	"ROS-DAL15"	20	7
"ROS-DAL21"	"Ebriida"	"ROS-DAL21"	36	10
"ROS-ROS13"	"Cryptomonadales"	"ROS-ROS13"	757	17
"ROS-DAL27"	"Prorocentrales"	"ROS-DAL27"	55	9
"ROS-MBA03"	"Peridiniales"	"ROS-MBA03"	450	9
"ROS-MBA12"	"Peridiniales"	"ROS-MBA12"	789	10
"ROS-MBA16"	"Peridiniales"	"ROS-MBA16"	852	11
"ROS-MBA20"	"Peridiniales"	"ROS-MBA20"	661	11
"ROS-ROS09"	"Strombidiida"	"ROS-ROS09"	24	6
"ROS-ROS13"	"Strombidiida"	"ROS-ROS13"	22	3
"ROS-DAL09"	"Bacillariophyta_X"	"ROS-DAL09"	274	30
"ROS-MBA03"	"Suessiales"	"ROS-MBA03"	13	1
"ROS-MBA07"	"Suessiales"	"ROS-MBA07"	14	2
"ROS-MBA12"	"Suessiales"	"ROS-MBA12"	7	2
"ROS-MBA16"	"Suessiales"	"ROS-MBA16"	8	2
"ROS-MBA20"	"Suessiales"	"ROS-MBA20"	6	1
"ROS-MBA03"	"Dino-Group-I"	"ROS-MBA03"	17	9
"ROS-MBA07"	"Dino-Group-I"	"ROS-MBA07"	22	13
"ROS-MBA16"	"Dino-Group-I"	"ROS-MBA16"	29	12
"ROS-MBA20"	"Dino-Group-I"	"ROS-MBA20"	26	10
"ROS-NOAA24"	"Dino-Group-I"	"ROS-NOAA24"	489	17
"ROS-ROS01"	"Dino-Group-I"	"ROS-ROS01"	642	18
"ROS-ROS05"	"Dino-Group-I"	"ROS-ROS05"	632	14
"ROS-ROS09"	"Dino-Group-I"	"ROS-ROS09"	702	18
"ROS-ROS13"	"Dino-Group-I"	"ROS-ROS13"	546	19
"ROS-ROS17"	"Dino-Group-I"	"ROS-ROS17"	390	12
"ROS-SOC05"	"Dino-Group-I"	"ROS-SOC05"	109	5
"ROS-SOC12"	"Dino-Group-I"	"ROS-SOC12"	105	6
"ROS-SOC18"	"Dino-Group-I"	"ROS-SOC18"	75	3
"ROS-SOC24"	"Dino-Group-I"	"ROS-SOC24"	114	2
"ROS-SOC28"	"Dino-Group-I"	"ROS-SOC28"	90	5
"ROS-DAL03"	"Strombidiida"	"ROS-DAL03"	72	10
"ROS-DAL09"	"Strombidiida"	"ROS-DAL09"	82	9
"ROS-DAL15"	"Strombidiida"	"ROS-DAL15"	26	11
"ROS-DAL21"	"Strombidiida"	"ROS-DAL21"	48	8
"ROS-MBA07"	"Strombidiida"	"ROS-MBA07"	2	1
"ROS-MBA20"	"Strombidiida"	"ROS-MBA20"	5	3
