"Samples"	"orderplot"	"sampleplot"	"nreads"	"nasvs"
"ROS-NOAA13"	"Peridiniales"	"ROS-NOAA13"	173	21
"ROS-NOAA18"	"Peridiniales"	"ROS-NOAA18"	140	22
"ROS-SOC05"	"Peridiniales"	"ROS-SOC05"	8	4
"ROS-SOC24"	"Peridiniales"	"ROS-SOC24"	4	4
"ROS-BMk25"	"Prymnesiales"	"ROS-BMk25"	457	13
"ROS-NOAA24"	"Crustacea"	"ROS-NOAA24"	3871	10
"ROS-DAL03"	"Prymnesiales"	"ROS-DAL03"	183	8
"ROS-NOAA30"	"Peridiniales"	"ROS-NOAA30"	151	15
"ROS-BMk17"	"Pyramimonadales_X"	"ROS-BMk17"	86	7
"ROS-BMk25"	"Pyramimonadales_X"	"ROS-BMk25"	60	6
"ROS-EMk03"	"Pyramimonadales_X"	"ROS-EMk03"	675	13
"ROS-BMk13"	"Prorocentrales"	"ROS-BMk13"	5876	13
"ROS-BMk15"	"Prorocentrales"	"ROS-BMk15"	6564	9
"ROS-BMk17"	"Prorocentrales"	"ROS-BMk17"	6223	13
"ROS-BMk25"	"Prorocentrales"	"ROS-BMk25"	4335	6
"ROS-EMk15"	"Prorocentrales"	"ROS-EMk15"	1776	12
"ROS-BMk17"	"Mamiellales"	"ROS-BMk17"	9	6
"ROS-DAL15"	"Dinophyceae_X"	"ROS-DAL15"	733	18
"ROS-MBA03"	"Pyramimonadales_X"	"ROS-MBA03"	7	2
"ROS-MBA07"	"Pyramimonadales_X"	"ROS-MBA07"	1	1
"ROS-MBA16"	"Pyramimonadales_X"	"ROS-MBA16"	3	2
"ROS-MBA20"	"Pyramimonadales_X"	"ROS-MBA20"	1	1
"ROS-SOC05"	"Cryomonadida"	"ROS-SOC05"	54	8
"ROS-SOC24"	"Cryomonadida"	"ROS-SOC24"	31	9
"ROS-BMk21"	"Prorocentrales"	"ROS-BMk21"	6087	9
"ROS-MBA03"	"Ebriida"	"ROS-MBA03"	1381	7
"ROS-MBA07"	"Ebriida"	"ROS-MBA07"	3115	8
"ROS-MBA12"	"Ebriida"	"ROS-MBA12"	1533	10
"ROS-MBA16"	"Ebriida"	"ROS-MBA16"	1296	9
"ROS-MBA20"	"Ebriida"	"ROS-MBA20"	2029	11
"ROS-ROS17"	"Crustacea"	"ROS-ROS17"	7	1
"ROS-SOC18"	"Peridiniales"	"ROS-SOC18"	7	5
"ROS-MBA03"	"Others"	"ROS-MBA03"	234	19
"ROS-BMk13"	"Pyramimonadales_X"	"ROS-BMk13"	96	5
"ROS-BMk15"	"Pyramimonadales_X"	"ROS-BMk15"	74	3
"ROS-BMk25"	"Isochrysidales"	"ROS-BMk25"	78	10
"ROS-EMk17"	"Prymnesiales"	"ROS-EMk17"	1333	13
"ROS-EMk15"	"Phaeocystales"	"ROS-EMk15"	598	7
"ROS-ROS01"	"Peridiniales"	"ROS-ROS01"	3	3
"ROS-ROS05"	"Peridiniales"	"ROS-ROS05"	1	1
"ROS-BMk13"	"Suessiales"	"ROS-BMk13"	16	11
"ROS-MBA20"	"Mamiellales"	"ROS-MBA20"	1	1
"ROS-BMk21"	"Suessiales"	"ROS-BMk21"	17	11
"ROS-EMk17"	"Prorocentrales"	"ROS-EMk17"	1622	7
"ROS-ROS13"	"Peridiniales"	"ROS-ROS13"	5	5
"ROS-DAL09"	"Prymnesiales"	"ROS-DAL09"	83	11
"ROS-DAL15"	"Prymnesiales"	"ROS-DAL15"	71	9
"ROS-DAL21"	"Prymnesiales"	"ROS-DAL21"	76	5
"ROS-NOAA07"	"Prymnesiales"	"ROS-NOAA07"	71	8
"ROS-ROS13"	"Prymnesiales"	"ROS-ROS13"	60	11
"ROS-MBA07"	"Prorocentrales"	"ROS-MBA07"	1	1
"ROS-MBA12"	"Prorocentrales"	"ROS-MBA12"	9	2
"ROS-MBA16"	"Prorocentrales"	"ROS-MBA16"	1	1
"ROS-SOC28"	"Prorocentrales"	"ROS-SOC28"	16	7
"ROS-MBA07"	"Prymnesiales"	"ROS-MBA07"	11	3
"ROS-NOAA13"	"Prymnesiales"	"ROS-NOAA13"	74	7
"ROS-NOAA07"	"Filosa-Imbricatea_X"	"ROS-NOAA07"	23	3
"ROS-SOC24"	"Prorocentrales"	"ROS-SOC24"	24	8
"ROS-BMk21"	"Pyramimonadales_X"	"ROS-BMk21"	77	5
"ROS-EMk08"	"Pyramimonadales_X"	"ROS-EMk08"	693	15
"ROS-DAL09"	"Cryomonadida"	"ROS-DAL09"	64	10
"ROS-DAL21"	"Filosa-Imbricatea_X"	"ROS-DAL21"	47	5
"ROS-DAL27"	"Filosa-Imbricatea_X"	"ROS-DAL27"	49	5
"ROS-BMk25"	"Mamiellales"	"ROS-BMk25"	16	8
"ROS-EMk03"	"Mamiellales"	"ROS-EMk03"	6	6
"ROS-EMk08"	"Mamiellales"	"ROS-EMk08"	7	6
"ROS-SOC12"	"Cryomonadida"	"ROS-SOC12"	46	7
"ROS-SOC18"	"Cryomonadida"	"ROS-SOC18"	39	5
"ROS-SOC28"	"Cryomonadida"	"ROS-SOC28"	31	10
"ROS-NOAA13"	"Filosa-Imbricatea_X"	"ROS-NOAA13"	21	2
"ROS-SOC12"	"Filosa-Imbricatea_X"	"ROS-SOC12"	3	2
"ROS-ROS09"	"Peridiniales"	"ROS-ROS09"	4	4
"ROS-DAL03"	"Cryptomonadales"	"ROS-DAL03"	1052	14
"ROS-NOAA13"	"Crustacea"	"ROS-NOAA13"	4928	9
"ROS-BMk13"	"Gymnodiniales"	"ROS-BMk13"	14	5
"ROS-BMk15"	"Gymnodiniales"	"ROS-BMk15"	15	5
"ROS-BMk17"	"Gymnodiniales"	"ROS-BMk17"	29	7
"ROS-BMk21"	"Gymnodiniales"	"ROS-BMk21"	13	4
"ROS-BMk25"	"Gymnodiniales"	"ROS-BMk25"	11	4
"ROS-DAL03"	"Filosa-Imbricatea_X"	"ROS-DAL03"	30	4
"ROS-DAL09"	"Filosa-Imbricatea_X"	"ROS-DAL09"	32	4
"ROS-DAL09"	"Crustacea"	"ROS-DAL09"	1	1
"ROS-DAL27"	"Cryomonadida"	"ROS-DAL27"	118	9
"ROS-SOC12"	"Phaeocystales"	"ROS-SOC12"	28	4
"ROS-EMk08"	"Gymnodiniales"	"ROS-EMk08"	10	6
"ROS-EMk15"	"Gymnodiniales"	"ROS-EMk15"	17	5
"ROS-EMk17"	"Gymnodiniales"	"ROS-EMk17"	9	4
"ROS-ROS05"	"Suessiales"	"ROS-ROS05"	5	4
"ROS-NOAA24"	"Cryomonadida"	"ROS-NOAA24"	62	6
"ROS-ROS01"	"Suessiales"	"ROS-ROS01"	8	5
"ROS-ROS17"	"Phaeocystales"	"ROS-ROS17"	8	2
"ROS-SOC24"	"Phaeocystales"	"ROS-SOC24"	15	3
"ROS-EMk08"	"Prorocentrales"	"ROS-EMk08"	1352	10
"ROS-ROS01"	"Ebriida"	"ROS-ROS01"	106	4
"ROS-ROS13"	"Ebriida"	"ROS-ROS13"	79	3
"ROS-ROS17"	"Ebriida"	"ROS-ROS17"	79	3
"ROS-ROS01"	"Prymnesiales"	"ROS-ROS01"	51	6
"ROS-MBA07"	"Peridiniales"	"ROS-MBA07"	651	11
"ROS-DAL03"	"Prorocentrales"	"ROS-DAL03"	48	6
"ROS-SOC18"	"Phaeocystales"	"ROS-SOC18"	21	3
"ROS-NOAA13"	"Cryomonadida"	"ROS-NOAA13"	44	5
"ROS-MBA12"	"Dino-Group-II"	"ROS-MBA12"	43	7
"ROS-MBA16"	"Dino-Group-II"	"ROS-MBA16"	41	4
"ROS-MBA20"	"Dino-Group-II"	"ROS-MBA20"	6	2
"ROS-EMk09"	"Pyramimonadales_X"	"ROS-EMk09"	803	10
"ROS-MBA03"	"Prymnesiales"	"ROS-MBA03"	12	2
"ROS-MBA12"	"Prymnesiales"	"ROS-MBA12"	7	1
"ROS-MBA16"	"Prymnesiales"	"ROS-MBA16"	5	1
"ROS-MBA20"	"Prymnesiales"	"ROS-MBA20"	13	1
"ROS-NOAA18"	"Prorocentrales"	"ROS-NOAA18"	5	4
"ROS-NOAA30"	"Prorocentrales"	"ROS-NOAA30"	68	5
"ROS-ROS09"	"Suessiales"	"ROS-ROS09"	11	6
"ROS-DAL15"	"Dino-Group-I"	"ROS-DAL15"	113	9
"ROS-DAL09"	"Phaeocystales"	"ROS-DAL09"	116	2
"ROS-DAL15"	"Phaeocystales"	"ROS-DAL15"	67	2
"ROS-DAL27"	"Phaeocystales"	"ROS-DAL27"	150	2
"ROS-MBA07"	"Phaeocystales"	"ROS-MBA07"	22	2
"ROS-MBA12"	"Phaeocystales"	"ROS-MBA12"	5	1
"ROS-MBA20"	"Phaeocystales"	"ROS-MBA20"	17	2
"ROS-SOC05"	"Prorocentrales"	"ROS-SOC05"	20	6
"ROS-EMk08"	"Peridiniales"	"ROS-EMk08"	5	4
"ROS-NOAA13"	"Ebriida"	"ROS-NOAA13"	2	1
"ROS-SOC12"	"Ebriida"	"ROS-SOC12"	2	2
"ROS-EMk15"	"Pyramimonadales_X"	"ROS-EMk15"	877	6
"ROS-EMk17"	"Pyramimonadales_X"	"ROS-EMk17"	796	12
"ROS-DAL15"	"Prorocentrales"	"ROS-DAL15"	55	3
"ROS-SOC24"	"Suessiales"	"ROS-SOC24"	13	6
"ROS-NOAA07"	"Cryomonadida"	"ROS-NOAA07"	68	3
"ROS-NOAA18"	"Cryomonadida"	"ROS-NOAA18"	26	3
"ROS-NOAA30"	"Cryomonadida"	"ROS-NOAA30"	20	4
"ROS-MBA16"	"Crustacea"	"ROS-MBA16"	3	2
"ROS-NOAA24"	"Filosa-Imbricatea_X"	"ROS-NOAA24"	6	2
"ROS-NOAA30"	"Filosa-Imbricatea_X"	"ROS-NOAA30"	29	4
"ROS-SOC18"	"Filosa-Imbricatea_X"	"ROS-SOC18"	5	4
"ROS-SOC28"	"Filosa-Imbricatea_X"	"ROS-SOC28"	5	3
"ROS-DAL03"	"Pyramimonadales_X"	"ROS-DAL03"	10	2
"ROS-DAL09"	"Pyramimonadales_X"	"ROS-DAL09"	3	1
"ROS-DAL21"	"Pyramimonadales_X"	"ROS-DAL21"	4	2
"ROS-MBA12"	"Pyramimonadales_X"	"ROS-MBA12"	7	2
"ROS-NOAA07"	"Pyramimonadales_X"	"ROS-NOAA07"	58	3
"ROS-ROS01"	"Pyramimonadales_X"	"ROS-ROS01"	108	5
"ROS-ROS05"	"Pyramimonadales_X"	"ROS-ROS05"	126	4
"ROS-ROS13"	"Pyramimonadales_X"	"ROS-ROS13"	90	4
"ROS-ROS17"	"Pyramimonadales_X"	"ROS-ROS17"	35	3
"ROS-ROS05"	"Gonyaulacales"	"ROS-ROS05"	7	1
"ROS-SOC28"	"Gonyaulacales"	"ROS-SOC28"	16	1
"ROS-SOC05"	"Phaeocystales"	"ROS-SOC05"	16	2
"ROS-SOC12"	"Crustacea"	"ROS-SOC12"	102	3
"ROS-ROS01"	"Phaeocystales"	"ROS-ROS01"	5	2
"ROS-EMk09"	"Gymnodiniales"	"ROS-EMk09"	5	4
"ROS-SOC28"	"Suessiales"	"ROS-SOC28"	4	4
"ROS-DAL27"	"Cryptomonadales"	"ROS-DAL27"	729	8
"ROS-NOAA07"	"Prorocentrales"	"ROS-NOAA07"	17	3
"ROS-NOAA13"	"Prorocentrales"	"ROS-NOAA13"	4	3
"ROS-NOAA24"	"Prorocentrales"	"ROS-NOAA24"	72	4
"ROS-MBA12"	"Cryptomonadales"	"ROS-MBA12"	4	2
"ROS-MBA16"	"Cryptomonadales"	"ROS-MBA16"	3	2
"ROS-NOAA24"	"Cryptomonadales"	"ROS-NOAA24"	421	5
"ROS-MBA07"	"Isochrysidales"	"ROS-MBA07"	3	1
"ROS-MBA12"	"Isochrysidales"	"ROS-MBA12"	5	1
"ROS-MBA20"	"Isochrysidales"	"ROS-MBA20"	8	1
"ROS-NOAA07"	"Isochrysidales"	"ROS-NOAA07"	123	3
"ROS-NOAA13"	"Isochrysidales"	"ROS-NOAA13"	60	1
"ROS-NOAA18"	"Isochrysidales"	"ROS-NOAA18"	85	2
"ROS-NOAA24"	"Isochrysidales"	"ROS-NOAA24"	65	1
"ROS-ROS01"	"Isochrysidales"	"ROS-ROS01"	15	1
"ROS-ROS09"	"Isochrysidales"	"ROS-ROS09"	50	2
"ROS-ROS17"	"Isochrysidales"	"ROS-ROS17"	94	3
"ROS-SOC05"	"Isochrysidales"	"ROS-SOC05"	20	1
"ROS-SOC12"	"Isochrysidales"	"ROS-SOC12"	26	1
"ROS-SOC18"	"Isochrysidales"	"ROS-SOC18"	22	1
"ROS-SOC28"	"Isochrysidales"	"ROS-SOC28"	37	3
"ROS-NOAA18"	"Filosa-Imbricatea_X"	"ROS-NOAA18"	16	3
"ROS-DAL15"	"Filosa-Imbricatea_X"	"ROS-DAL15"	23	3
"ROS-MBA20"	"Filosa-Imbricatea_X"	"ROS-MBA20"	1	1
"ROS-ROS05"	"Ebriida"	"ROS-ROS05"	69	3
"ROS-ROS09"	"Ebriida"	"ROS-ROS09"	107	3
"ROS-MBA12"	"Crustacea"	"ROS-MBA12"	4	2
"ROS-MBA20"	"Crustacea"	"ROS-MBA20"	30	2
"ROS-ROS13"	"Prorocentrales"	"ROS-ROS13"	37	6
"ROS-ROS17"	"Prorocentrales"	"ROS-ROS17"	27	5
"ROS-EMk08"	"Dino-Group-II"	"ROS-EMk08"	3	1
"ROS-EMk09"	"Dino-Group-II"	"ROS-EMk09"	1	1
"ROS-EMk15"	"Dino-Group-II"	"ROS-EMk15"	2	1
"ROS-EMk17"	"Dino-Group-II"	"ROS-EMk17"	1	1
"ROS-EMk03"	"Gymnodiniales"	"ROS-EMk03"	3	2
"ROS-NOAA07"	"Crustacea"	"ROS-NOAA07"	4423	4
"ROS-EMk09"	"Crustacea"	"ROS-EMk09"	1	1
"ROS-MBA03"	"Dino-Group-II"	"ROS-MBA03"	6	1
"ROS-MBA07"	"Dino-Group-II"	"ROS-MBA07"	19	1
"ROS-ROS05"	"Crustacea"	"ROS-ROS05"	2	1
"ROS-DAL03"	"Phaeocystales"	"ROS-DAL03"	190	1
"ROS-DAL21"	"Phaeocystales"	"ROS-DAL21"	128	1
"ROS-MBA03"	"Phaeocystales"	"ROS-MBA03"	4	1
"ROS-MBA16"	"Phaeocystales"	"ROS-MBA16"	10	1
"ROS-ROS09"	"Phaeocystales"	"ROS-ROS09"	3	1
"ROS-MBA07"	"Crustacea"	"ROS-MBA07"	59	1
"ROS-MBA03"	"Cryptomonadales"	"ROS-MBA03"	1	1
"ROS-MBA07"	"Cryptomonadales"	"ROS-MBA07"	1	1
"ROS-MBA03"	"Isochrysidales"	"ROS-MBA03"	3	1
"ROS-MBA16"	"Isochrysidales"	"ROS-MBA16"	1	1
"ROS-BMk25"	"Dino-Group-II"	"ROS-BMk25"	4	1
"ROS-DAL15"	"Pyramimonadales_X"	"ROS-DAL15"	2	1
"ROS-ROS09"	"Pyramimonadales_X"	"ROS-ROS09"	55	2
"ROS-SOC05"	"Filosa-Imbricatea_X"	"ROS-SOC05"	4	1
"ROS-SOC24"	"Filosa-Imbricatea_X"	"ROS-SOC24"	1	1
"ROS-SOC05"	"Ebriida"	"ROS-SOC05"	6	1
"ROS-SOC18"	"Ebriida"	"ROS-SOC18"	9	1
"ROS-SOC28"	"Ebriida"	"ROS-SOC28"	4	1
