ASV,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_9660,Bacteria,,,,,,,
ASV_5759,Bacteria,,,,,,,
ASV_7044,Bacteria,,,,,,,
ASV_9749,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_4615,Bacteria,,,,,,,
ASV_5229,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_4651,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_4719,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_9720,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_4955,Bacteria,,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,Salinispirillum,
ASV_9610,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_9350,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_6716,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_6101,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_4430,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_8368,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_7806,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_5787,Bacteria,,,,,,,
ASV_3244,Bacteria,,,,,,,
ASV_5360,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_5106,Bacteria,,,,,,,
ASV_9390,Bacteria,,,,,,,
ASV_1283,Bacteria,,,,,,,
ASV_4950,Bacteria,,,,,,,
ASV_2634,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_7028,Bacteria,,,,,,,
ASV_973,Bacteria,,,,,,,
ASV_840,Bacteria,,,,,,,
ASV_2300,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_7040,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_6082,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_6117,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_6479,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_4881,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_4149,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_3635,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_9377,,,,,,,,
ASV_9615,,,,,,,,
ASV_7299,Eukaryota,Viridiplantae,Chlorophyta,Chloropicophyceae,Chloropicales,Chloropicaceae,Chloropicon,Chloropicon sieburthii
ASV_2069,Eukaryota,,Bacillariophyta,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,
ASV_9849,,,,,,,,
ASV_394,Eukaryota,,Bacillariophyta,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,
ASV_6145,Eukaryota,,Bacillariophyta,Coscinodiscophyceae,Stephanodiscales,Stephanodiscaceae,Cyclotella,Cyclotella striata
ASV_3164,Eukaryota,,Bacillariophyta,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,
ASV_7690,Eukaryota,,Bacillariophyta,Fragilariophyceae,Rhaponeidales,Rhaphoneidaceae,Rhaphoneis,Rhaphoneis sp. s0366
ASV_7937,Eukaryota,,Bacillariophyta,Fragilariophyceae,Rhaponeidales,Rhaphoneidaceae,Rhaphoneis,Rhaphoneis sp. s0366
ASV_8251,,,,,,,,
ASV_7318,Eukaryota,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos
ASV_819,Eukaryota,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos
ASV_866,,,,,,,,
ASV_9403,,,,,,,,
ASV_4185,,,,,,,,
ASV_7021,,,,,,,,
ASV_8100,,,,,,,,
ASV_9580,,,,,,,,
ASV_4664,Eukaryota,,Bacillariophyta,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,
ASV_1931,Eukaryota,,Bacillariophyta,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,
ASV_7238,,,,,,,,
ASV_617,Eukaryota,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,
ASV_4900,Eukaryota,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,
ASV_7979,Eukaryota,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,
ASV_8046,Eukaryota,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,
ASV_9433,Eukaryota,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,
ASV_2807,Eukaryota,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ASV_1659,,,,,,,,
ASV_2417,,,,,,,,
ASV_1228,,,,,,,,
ASV_8036,,,,,,,,
ASV_7644,,,,,,,,
ASV_1894,Eukaryota,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,
ASV_5056,,,,,,,,
ASV_8211,,,,,,,,
ASV_9705,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_9558,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_6492,Bacteria,,,,,,,
ASV_6691,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_4831,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_9420,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_4902,Bacteria,,,,,,,
ASV_4601,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_8058,Bacteria,,Proteobacteria,Gammaproteobacteria,Pseudomonadales,unknown,unknown,uncultured Pseudomonadales bacterium
ASV_8182,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_8092,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_7984,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_5811,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_4147,,,,,,,,
ASV_4537,,,,,,,,
ASV_6604,Eukaryota,Viridiplantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,Pyramimonas parkeae
ASV_5329,,,,,,,,
ASV_9739,,,,,,,,
ASV_4819,,,,,,,,
ASV_4713,,,,,,,,
ASV_9874,,,,,,,,
ASV_9415,,,,,,,,
ASV_4534,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_3624,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_1331,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_9399,,,,,,,,
ASV_5231,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_4646,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_5369,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_980,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_6013,,,,,,,,
ASV_6613,Eukaryota,Fungi,Microsporidia,,,,,
ASV_8195,Eukaryota,Metazoa,Annelida,Polychaeta,Sabellida,Sabellidae,Branchiomma,Branchiomma lucullanum
ASV_9375,,,,,,,,
ASV_4929,Eukaryota,Viridiplantae,Chlorophyta,,,,,
ASV_8161,,,,,,,,
ASV_8197,Archaea,,unknown,unknown,unknown,unknown,unknown,archaeon
ASV_9353,Eukaryota,Viridiplantae,Chlorophyta,,,,,
ASV_8162,,,,,,,,
ASV_1032,Eukaryota,,unknown,Dinophyceae,,,,
ASV_2635,Eukaryota,,unknown,Dinophyceae,,,,
ASV_2803,Eukaryota,,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,
ASV_7241,Eukaryota,,unknown,Dinophyceae,,,,
ASV_8621,Eukaryota,,unknown,Dinophyceae,Peridiniales,,,
ASV_5499,Eukaryota,,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,
ASV_10536,Eukaryota,Metazoa,Cnidaria,Hydrozoa,Leptothecata,Plumulariidae,Plumularia,
ASV_12994,Eukaryota,,Cercozoa,,,,,
ASV_14495,Eukaryota,,Cercozoa,,,,,
ASV_12470,Eukaryota,,Imbricatea,unknown,Thaumatomonadida,,,
ASV_13001,Eukaryota,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,Phaeocystis,
ASV_10837,Eukaryota,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_10338,Eukaryota,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_12732,Eukaryota,,unknown,Dinophyceae,Syndiniales,,,
ASV_13189,Eukaryota,,Endomyxa,unknown,Vampyrellida,,,
ASV_13411,Eukaryota,,Discosea,,,,,
ASV_14207,Eukaryota,,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,,
ASV_13993,Eukaryota,,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,
ASV_11827,Eukaryota,,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,
ASV_10438,Eukaryota,,unknown,Bigyra,Thraustochytrida,Thraustochytriaceae,unknown,Thraustochytriidae sp. thel2
ASV_11348,Eukaryota,,unknown,Bigyra,Thraustochytrida,Thraustochytriaceae,unknown,Thraustochytriidae sp. thel2
ASV_11603,Eukaryota,,unknown,Bigyra,Thraustochytrida,Thraustochytriaceae,unknown,Thraustochytriidae sp. thel2
ASV_11713,Eukaryota,,unknown,Bigyra,Thraustochytrida,Thraustochytriaceae,unknown,Thraustochytriidae sp. thel2
ASV_11137,Eukaryota,,unknown,Bigyra,Thraustochytrida,Thraustochytriaceae,,
ASV_11212,Eukaryota,,unknown,Bigyra,Thraustochytrida,Thraustochytriaceae,,
ASV_14031,Eukaryota,,unknown,Bigyra,Thraustochytrida,Thraustochytriaceae,,
ASV_10753,Eukaryota,,unknown,Bigyra,Thraustochytrida,Thraustochytriaceae,,
ASV_11240,Eukaryota,,unknown,Bigyra,Thraustochytrida,Thraustochytriaceae,,
ASV_13529,Eukaryota,,unknown,Bigyra,Thraustochytrida,Thraustochytriaceae,,
ASV_14413,Eukaryota,,unknown,Bigyra,Thraustochytrida,Thraustochytriaceae,,
ASV_8485,Eukaryota,,,,,,,
ASV_7410,Eukaryota,,Cercozoa,Thecofilosea,Tectofilosida,Chlamydophryidae,Lecythium,
ASV_764,Eukaryota,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,Phaeocystis,
ASV_3515,Eukaryota,,,,,,,
ASV_6169,Eukaryota,,,,,,,
ASV_6302,Eukaryota,,,,,,,
ASV_8540,Eukaryota,,Haptophyta,unknown,Prymnesiales,Prymnesiaceae,Haptolina,
ASV_7640,Eukaryota,,Haptophyta,unknown,Prymnesiales,Prymnesiaceae,Haptolina,
ASV_8428,Eukaryota,,Haptophyta,unknown,Isochrysidales,Isochrysidaceae,Isochrysis,
ASV_7860,Eukaryota,,Haptophyta,unknown,Isochrysidales,Isochrysidaceae,Isochrysis,
ASV_8504,Eukaryota,,Haptophyta,unknown,Prymnesiales,Prymnesiaceae,Prymnesium,
ASV_8422,Eukaryota,,Haptophyta,unknown,Prymnesiales,Prymnesiaceae,Prymnesium,
ASV_7019,Eukaryota,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,Phaeocystis,
ASV_7215,Eukaryota,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,Phaeocystis,
ASV_8432,Eukaryota,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_209,Eukaryota,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_8398,Eukaryota,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,Phaeocystis,
ASV_8456,Eukaryota,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,Phaeocystis,
ASV_6828,Eukaryota,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,Phaeocystis,
