# Constructed from biom file
#OTU ID	G8r-AWI19	G19r-AWI7	G12r-NOC23	E-G2-NOAA29	G22r-DAL24	E-G16-NOC11	E-G27-eMock2-2	G4r-ROS16	G7r-NOC20	E-G14-ROS20	E-G13-NOAA23	G5r-NOC4	G10r-ROS4	G26r-NOAA5	G24r-AWI15	G18r-NOAA6	G21r-NOC33	E-G3-DAL6	G9r-NOAA17	E-G28-eMock2-7	G23r-NOAA12	G17r-DAL12	G25r-ROS8	E-G36-bMock27	E-G6-DAL18	E-G15-AWI3	E-G30-eMockB-18	E-G29-eMockA-11	E-G32-bMock2	G11r-DAL30	E-G35-bMock22	G20r-ROS12	E-G31-eMockB-20	E-G34-bMock20	E-G1-AWI11	E-G33-bMock9	taxonomy
0c73f70dd5397471997f7fb1ef203556	216.0	406.0	13.0	0.0	1506.0	10.0	0.0	0.0	40.0	0.0	0.0	18.0	7.0	0.0	438.0	0.0	12.0	176.0	0.0	0.0	0.0	1543.0	6.0	0.0	672.0	362.0	0.0	0.0	0.0	413.0	0.0	3.0	0.0	0.0	296.0	0.0	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Spirotrichea
a2a7cef130b78ee5a6cc2ef2c9937e98	197.0	355.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	455.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	256.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	229.0	0.0	d__Eukaryota; p__Chlorophyta; c__Prasinophytae; o__Prasinophytae; f__Prasinophytae; g__Prasinophytae; s__Pyramimonas_gelidicola
c0922b2e50386c5623ca729d656bc7a8	187.0	227.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	180.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	220.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	114.0	0.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae
4627604196ad5f068deb66ea0233f1af	180.0	342.0	0.0	0.0	0.0	5.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	215.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	256.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae
c1f9d97d3b09ec0450c26dc2bfca8654	133.0	251.0	46.0	0.0	0.0	32.0	0.0	0.0	70.0	2.0	0.0	99.0	6.0	0.0	290.0	0.0	126.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	160.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	183.0	0.0	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Spirotrichea; f__Oligotrichia; g__Strombidium; s__uncultured_eukaryote
24ac8cb516e542c562856e9aaec1c491	132.0	224.0	0.0	0.0	0.0	3.0	0.0	0.0	12.0	0.0	0.0	11.0	0.0	0.0	173.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	131.0	0.0	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Spirotrichea; f__Oligotrichia; g__uncultured; s__uncultured_marine
601601a130f0b327214134decf5f1d7e	126.0	259.0	102.0	0.0	0.0	62.0	0.0	38.0	27.0	26.0	0.0	142.0	51.0	0.0	214.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0	179.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	16.0	0.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae; o__Gymnodiniphycidae
0489a450de3517b4aa468ef5d3e1541c	126.0	149.0	0.0	5.0	36.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	5.0	206.0	7.0	0.0	4.0	0.0	0.0	3.0	14.0	0.0	0.0	18.0	124.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	124.0	0.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae; o__Gymnodiniphycidae; f__Gymnodiniphycidae; g__Gyrodinium
c2585ac48a2866e0a8ffb2d1e7fe6008	120.0	187.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	165.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.0	0.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae
519f0400ce28b6b261016f4d9d686b81	116.0	184.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	186.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	124.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	155.0	0.0	d__Eukaryota
aca8995a5f9c74a8d166613f498507b0	105.0	294.0	76.0	40.0	0.0	68.0	0.0	159.0	79.0	35.0	27.0	120.0	189.0	53.0	272.0	65.0	143.0	2.0	3.0	0.0	62.0	8.0	107.0	0.0	0.0	206.0	0.0	0.0	0.0	0.0	0.0	225.0	0.0	0.0	172.0	0.0	d__Eukaryota; p__Cryptophyceae; c__Cryptophyceae; o__Cryptomonadales; f__Cryptomonadales; g__Cryptomonadales; s__uncultured_marine
73a59d497dd71663cdfc55923dc89ea3	93.0	174.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	191.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	d__Eukaryota; p__Chlorophyta; c__Prasinophytae; o__Prasinophytae; f__Prasinophytae; g__Prasinophytae; s__Pyramimonas_sp.
479b524f95b0123ee5ce5ca2eb0a3a9f	92.0	215.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	169.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	205.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	148.0	0.0	d__Eukaryota; p__Ochrophyta; c__Pelagophyceae; o__Sarcinochrysidales; f__Sarcinochrysidales; g__SS1-E01-69
517c213f3ea0bb8aa5d90fa132c8f128	82.0	103.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	93.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.0	0.0	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales
