#OTUID	cj-DAL03	cj-DAL09	cj-DAL15	cj-DAL21	cj-DAL27	cj-MBA03	cj-MBA07	cj-MBA12	cj-MBA16	cj-MBA20	cj-NOAA07	cj-NOAA13	cj-NOAA18	cj-NOAA24	cj-NOAA30	cj-ROS01	cj-ROS05	cj-ROS09	cj-ROS13	cj-ROS17	cj-SOC05	cj-SOC12	cj-SOC18	cj-SOC24	cj-SOC28
ASV_535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	236.0	236.0	93.0	159.0	155.0
ASV_536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	399.0	0.0	479.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	330.0	68.0	335.0	13.0	127.0
ASV_546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	697.0	50.0	48.0	18.0	0.0	0.0	0.0	0.0	0.0
ASV_548	0.0	0.0	0.0	0.0	0.0	119.0	213.0	178.0	159.0	183.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_550	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	135.0	109.0	141.0	197.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_552	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_557	150.0	161.0	102.0	193.0	224.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_560	39.0	38.0	37.0	44.0	63.0	0.0	0.0	1.0	0.0	0.0	18.0	11.0	17.0	13.0	12.0	205.0	77.0	80.0	99.0	50.0	4.0	5.0	10.0	3.0	2.0
ASV_565	0.0	0.0	0.0	0.0	0.0	120.0	78.0	130.0	185.0	299.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_570	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	192.0	80.0	167.0	141.0	225.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	220.0	200.0	187.0	100.0	81.0	0.0	0.0	0.0	0.0	0.0
ASV_584	0.0	0.0	0.0	0.0	0.0	138.0	81.0	97.0	174.0	295.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_591	12.0	14.0	4.0	6.0	10.0	0.0	0.0	0.0	0.0	0.0	7.0	9.0	17.0	10.0	9.0	85.0	68.0	73.0	68.0	51.0	89.0	72.0	85.0	35.0	48.0
ASV_592	0.0	0.0	3.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	161.0	176.0	148.0	177.0	100.0	0.0	0.0	0.0	0.0	0.0
ASV_596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.0	160.0	187.0	176.0	95.0	0.0	0.0	0.0	0.0	0.0
ASV_609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	196.0	115.0	170.0	106.0	153.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_614	4.0	67.0	588.0	68.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	197.0	157.0	149.0	110.0	96.0	2.0	7.0	8.0	7.0	0.0
ASV_618	17.0	28.0	5.0	18.0	18.0	6.0	2.0	5.0	4.0	2.0	110.0	124.0	74.0	43.0	34.0	32.0	11.0	18.0	15.0	27.0	25.0	61.0	8.0	22.0	23.0
ASV_620	209.0	166.0	65.0	163.0	127.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_626	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	3.0	139.0	95.0	152.0	94.0	233.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ASV_637	92.0	69.0	70.0	104.0	125.0	0.0	0.0	2.0	0.0	1.0	14.0	15.0	19.0	18.0	0.0	34.0	34.0	17.0	17.0	14.0	13.0	12.0	21.0	7.0	12.0
ASV_640	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	116.0	475.0	15.0	99.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_642	0.0	0.0	0.0	0.0	0.0	166.0	175.0	149.0	109.0	103.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	138.0	157.0	157.0	113.0	121.0
ASV_653	5.0	3.0	4.0	11.0	6.0	0.0	0.0	0.0	0.0	0.0	58.0	39.0	51.0	31.0	54.0	2.0	12.0	12.0	24.0	6.0	70.0	85.0	84.0	52.0	76.0
ASV_656	4.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	194.0	77.0	138.0	85.0	182.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_657	30.0	26.0	22.0	40.0	16.0	0.0	0.0	0.0	0.0	0.0	24.0	15.0	16.0	9.0	29.0	21.0	49.0	38.0	67.0	38.0	50.0	54.0	44.0	41.0	53.0
ASV_658	166.0	140.0	69.0	133.0	169.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_660	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	140.0	537.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_670	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	97.0	153.0	202.0	138.0	0.0	0.0	0.0	0.0	0.0
ASV_672	0.0	0.0	0.0	0.0	0.0	96.0	127.0	206.0	138.0	85.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116.0	177.0	173.0	105.0	75.0	0.0	0.0	0.0	0.0	0.0
ASV_684	22.0	23.0	29.0	18.0	30.0	0.0	0.0	0.0	0.0	0.0	35.0	27.0	24.0	21.0	33.0	17.0	12.0	29.0	33.0	23.0	38.0	44.0	47.0	60.0	66.0
ASV_691	0.0	0.0	0.0	0.0	0.0	78.0	180.0	136.0	123.0	111.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_713	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0	211.0	138.0	5.0	186.0	0.0	0.0	0.0	0.0	0.0
ASV_714	0.0	0.0	0.0	0.0	0.0	167.0	125.0	110.0	108.0	87.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_721	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	568.0	2.0	12.0	3.0	2.0	0.0	1.0	0.0	0.0	3.0
ASV_738	112.0	89.0	63.0	137.0	167.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_740	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.0	109.0	128.0	129.0	96.0
ASV_755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0	0.0	4.0	0.0	159.0	117.0	116.0	100.0	56.0	0.0	0.0	0.0	0.0	0.0
ASV_762	16.0	73.0	185.0	141.0	142.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_765	28.0	21.0	26.0	9.0	25.0	38.0	70.0	49.0	67.0	59.0	5.0	8.0	6.0	9.0	8.0	11.0	6.0	33.0	41.0	33.0	0.0	3.0	0.0	1.0	0.0
ASV_777	0.0	0.0	0.0	0.0	0.0	89.0	154.0	129.0	74.0	92.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_784	0.0	0.0	87.0	0.0	27.0	143.0	86.0	43.0	59.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_787	0.0	0.0	0.0	0.0	0.0	117.0	142.0	96.0	96.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.0	119.0	112.0	90.0	101.0
ASV_797	0.0	0.0	0.0	0.0	0.0	92.0	134.0	106.0	82.0	106.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137.0	5.0	370.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	164.0	132.0	27.0	156.0	31.0	0.0	0.0	0.0	0.0	0.0
ASV_808	196.0	75.0	53.0	159.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_817	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	53.0	29.0	39.0	338.0	0.0	0.0	0.0	0.0	0.0
ASV_824	2.0	0.0	0.0	0.0	0.0	72.0	191.0	17.0	39.0	168.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_825	0.0	0.0	0.0	0.0	0.0	97.0	98.0	77.0	112.0	105.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.0	137.0	98.0	54.0	114.0
ASV_848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.0	107.0	48.0	153.0	87.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_869	37.0	24.0	18.0	21.0	35.0	2.0	7.0	0.0	0.0	2.0	23.0	8.0	15.0	16.0	17.0	73.0	23.0	34.0	48.0	14.0	7.0	2.0	4.0	3.0	19.0
ASV_876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	129.0	98.0	110.0	54.0	0.0	0.0	0.0	0.0	0.0
ASV_877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.0	63.0	119.0	71.0	118.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_886	0.0	0.0	0.0	0.0	0.0	35.0	76.0	130.0	99.0	87.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.0	326.0	0.0	0.0
ASV_901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.0	70.0	57.0	87.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.0	98.0	92.0	81.0	38.0	0.0	0.0	0.0	0.0	0.0
ASV_916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	164.0	64.0	67.0	55.0	47.0	0.0	6.0	0.0	2.0	0.0
