,PC1,PC2,PC3,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_17,-0.03390208625134168,-0.13271409997991518,0.09857316266201814,,Haptophyta,,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis pouchetii
ASV_28,-0.017204867327359555,-0.027709310282166753,0.08522243790545121,,,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum micans
ASV_33,-0.2127475989813898,0.14036049193137656,0.09173630047675423,Metazoa,Arthropoda,Hexanauplia,Calanoida,Pontellidae,Anomalocera,Anomalocera patersoni
ASV_96,-0.16051562392937893,0.10617418429947514,0.0665309726330022,Metazoa,Annelida,Polychaeta,,Capitellidae,Capitella,Capitella teleta
ASV_99,0.0007766373682056981,-0.005966108169569701,0.021135162460915305,,Haptophyta,,Prymnesiales,Prymnesiaceae,Prymnesium,Prymnesium nemamethecum
ASV_101,-0.06388612402826851,-0.0886128183887569,0.21185052443769867,,Haptophyta,,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi
ASV_112,0.056140292741172076,0.07792413580181105,0.2437670315561499,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Minidiscus,
ASV_116,-0.014335848965643662,-0.024655074943577583,0.028158414890945935,,Bacillariophyta,Fragilariophyceae,Fragilariales,Staurosiraceae,Plagiostriata,Plagiostriata goreensis
ASV_119,0.1670739118598722,0.1297541046613276,0.10901072703993389,,,Dinophyceae,,,,
ASV_122,-0.18172853151453477,0.1167844533670026,0.08099187515937438,Metazoa,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,Oithona davisae
ASV_130,-0.06863545347484823,-0.08227271848232298,0.227512611988329,,,Dinophyceae,,,,
ASV_140,0.008095780643364496,-0.006118244214006769,0.030186709344463696,,,Dinophyceae,Gonyaulacales,Pyrocystaceae,Alexandrium,Alexandrium minutum
ASV_142,0.11008664008677005,0.010189508254665363,0.18989066752646747,,,Dinophyceae,,,,
ASV_153,-0.003885966265591583,-0.0019127611239476991,0.011350493902733629,,Bacillariophyta,Mediophyceae,Biddulphiales,Biddulphiaceae,Biddulphia,
ASV_155,0.02526519086618912,-0.0804024046276815,0.08496853063415949,Metazoa,Arthropoda,Hexanauplia,,,,
ASV_170,-0.033125521546581514,-0.01788574672044392,0.043968385457859534,,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia seriata
ASV_173,0.030808495978909473,0.00010560659934134118,0.007594323891878718,,,Dinophyceae,,,,
ASV_176,0.036629887710924645,-0.07500461467444146,0.24482343753779778,,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,
ASV_181,-0.00870099411343129,-0.05987557155720978,0.029171759739083425,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira hispida
ASV_186,0.004748655440966225,0.006223308189154802,-0.014421012239306637,Viridiplantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,Pyramimonas parkeae
ASV_192,-0.1802687129512561,0.12592144419769663,0.07480423908381466,,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Margalefidinium,Margalefidinium fulvescens
ASV_204,-0.023058527048662444,-0.09123779878421838,0.21290066644704336,,Haptophyta,,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina campanulifera
ASV_209,-0.0926122643317159,0.05201405677757796,0.04507755230339863,,Haptophyta,,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis globosa
ASV_495,-0.0004108813459283232,-0.002559975237548388,0.13962983621622543,,,Dinophyceae,,,,
ASV_496,0.02044072725252148,-0.08049132631642573,0.07611408135808101,Metazoa,Cnidaria,Hydrozoa,,,,
ASV_500,-0.039386580115744044,-0.14574313284252458,0.05898691003078886,,,Dinophyceae,,,,
ASV_506,-0.020572039802571024,0.05393192214216105,0.15072664206885336,,,Dinophyceae,,,,
ASV_527,-0.10131178583984211,0.07891651132064396,0.04038252906964721,,,Dinophyceae,,,,
ASV_535,0.017291947846211738,-0.07699302558746875,0.07585786725741901,,Ciliophora,Spirotrichea,Choreotrichida,Strobilidiidae,Pelagostrobilidium,
ASV_536,-0.07247294142995994,0.04846155488458973,0.03265882060659193,Metazoa,Arthropoda,Hexanauplia,Calanoida,Pontellidae,Anomalocera,Anomalocera patersoni
ASV_537,0.015681109752080178,-0.06869095418943062,0.06775826058622358,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira tenera
ASV_546,0.08630323056348936,0.06819969775240277,0.05543084479548053,Metazoa,Annelida,Polychaeta,Sabellida,Sabellidae,Sabella,Sabella spallanzanii
ASV_548,0.03077057442986872,-0.006219890783262829,0.0013880208502458603,,,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,,
ASV_550,-0.12925427181297425,0.0868797912127586,0.056554426034795796,,,Dinophyceae,,,,
ASV_552,0.0013706309804950004,0.006720494763292489,-0.0025939862743037593,,Haptophyta,,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis globosa
ASV_557,-0.0289645042047421,-0.13564759607528212,0.06027135653397185,,,Dinophyceae,,,,
ASV_560,0.027540362973950676,0.006536745923284358,0.12497675430788026,,,,,,,
ASV_565,0.019356982570250772,0.0004920569843844043,0.0058241804373749,,,Dinophyceae,,,,
ASV_570,-0.12801978133080513,0.0829938352847991,0.0568418781676604,,,Dinophyceae,,,,
ASV_581,0.1070269072602757,0.08486872914429089,0.06873218949644283,,,Dinophyceae,,,,
ASV_584,0.019047810560225403,0.0005607060939910824,0.005736180803732807,,,Dinophyceae,,,,
ASV_591,0.055597848642212615,0.001929954127309902,0.13641124045658684,,,Choanoflagellata,Acanthoecida,Stephanoecidae,,
ASV_592,0.10642514188073794,0.07875999422014092,0.07208675838877084,,Cercozoa,,,,,
ASV_596,0.10713236490535442,0.08500589145521038,0.0690517919249946,,,,,,,
ASV_609,-0.1262134165687177,0.08168987230350724,0.05596935927384291,,,Dictyochophyceae,Dictyochales,Dictyochaceae,Dictyocha,
ASV_614,-0.017702860105234045,-0.08284533155856336,0.03684967601763994,Metazoa,Mollusca,Bivalvia,Adapedonta,Hiatellidae,Hiatella,
ASV_616,0.10532924543330678,0.07494673631584742,0.07520750767198088,,,Dinophyceae,,,,
ASV_618,-0.055035023924928275,0.01011804817169385,0.1399833866584019,,Ciliophora,Spirotrichea,,Strombidiidae,Strombidium,
ASV_620,-0.027909084719613834,-0.13004981376897778,0.057815286730057425,,,Dinophyceae,,,,
ASV_626,-0.12561324204433946,0.08341075961773879,0.05224366895853349,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira pseudonana
ASV_637,-0.011154665330277631,-0.06834960671652131,0.12573193142108618,,,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,
ASV_640,-0.0957773814475114,0.06311169654266514,0.04073527331050531,Metazoa,Arthropoda,Hexanauplia,Calanoida,Calanidae,Limnocalanus,Limnocalanus macrurus
ASV_642,0.01882013286897386,0.0010862784980727265,0.00563225257195582,,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium fusiforme
ASV_646,0.013077419750424254,-0.07200238537247373,0.07318304181003808,,,Dinophyceae,,,,
ASV_653,-0.047809226019766116,-0.0006926279749701112,0.12374715357260532,,Haptophyta,,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis cordata
ASV_656,-0.1209916966089726,0.07911236440143973,0.053883403872217454,,,Dinophyceae,,,,
ASV_657,0.012109153429794739,-0.030748681281024343,0.14800576902780868,,,Pelagophyceae,Pelagomonadales,Pelagomonadaceae,Aureococcus,Aureococcus anophagefferens
ASV_658,-0.027700760776611853,-0.12858162140457827,0.056998257651369316,,,Dinophyceae,,,,
ASV_660,0.009944519029593903,-0.0012846077651384933,0.0032556477552106843,,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium spirale
ASV_670,0.1008953201916492,0.08019527236957438,0.06541937726448259,,,Dinophyceae,,,,
ASV_672,0.01836149509350169,0.0007927383937890027,0.0055494519120485,,,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,,
ASV_676,0.10193991620790169,0.08087380042960729,0.06566293706905896,,,Dinophyceae,,,,
ASV_684,-0.019275356963550053,-0.03273896535564519,0.14517298423672292,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira oceanica
ASV_691,0.018202811686385233,0.0007904341466146384,0.005446346684049902,,Cercozoa,,,,,
ASV_713,0.08508554187864678,0.06778399547954853,0.054811361803167556,,,Dinophyceae,,,,
ASV_714,0.017779692500821297,0.0010152454266343773,0.00538052127623974,,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium fusiforme
ASV_721,0.03434423439634896,0.031121872041587423,0.017794812063354766,Metazoa,Annelida,Polychaeta,Sabellida,Serpulidae,Hydroides,Hydroides norvegica
ASV_738,-0.03677658408363448,-0.12804599924165427,0.049179465066960845,,,Dinophyceae,,,,
ASV_740,-0.0008450689836114906,0.007583994621213375,-0.0036344916836456662,,Haptophyta,,Prymnesiales,Prymnesiaceae,Prymnesium,Prymnesium aff. polylepis
ASV_744,0.01572872576034435,-0.06977749162934618,0.06887523539363259,,,Dinophyceae,,,,
ASV_755,0.09139754621282295,0.08133790844236785,0.06582441377370982,,,Dinophyceae,,,,
ASV_762,-0.02379834769673423,-0.11279152452684055,0.050145991424865595,,,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,Tripos furca
ASV_765,0.0268383772216342,-0.007309773922046859,0.07135001278221895,,,Bigyra,Thraustochytrida,Thraustochytriaceae,Aplanochytrium,
ASV_777,0.01725361573068185,0.000906889399493679,0.005148408221550537,,Oomycota,,,,,
ASV_784,0.021220686656246136,-0.026605722915431753,0.031123392543135252,,,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Gonyaulax,Gonyaulax spinifera
ASV_787,0.01705359928853319,0.0009635369322891871,0.005155604811250089,,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium fusiforme
ASV_796,0.0153541097200925,-0.06823349158267601,0.06727992461551129,,,Dinophyceae,,,,
ASV_797,0.017154176174944302,0.0008380602834232857,0.005136824400213177,,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium fusiforme
ASV_803,-0.05023574387953815,0.032229807230246266,0.021520922840592333,Metazoa,Arthropoda,Hexanauplia,Calanoida,Calocalanidae,Calocalanus,
ASV_806,0.08994900494528126,0.07109497903457511,0.0577586598320077,,,Dinophyceae,,,,
ASV_808,-0.02409822804121581,-0.11138594200894844,0.04956122061317128,Metazoa,Ctenophora,Tentaculata,Cydippida,Mertensiidae,Mertensia,Mertensia ovum
ASV_817,0.08032393865429138,0.06406086927557882,0.052368417871362205,Metazoa,Porifera,Demospongiae,Suberitida,Halichondriidae,Halichondria,Halichondria okadai
ASV_824,0.015280116648351333,0.0044285540520424636,0.0026926125422947807,,Bacillariophyta,Mediophyceae,,,,
ASV_825,0.01674115959498372,0.0007121975562175895,0.005088136439663107,,,Dinophyceae,,,,
ASV_845,0.01296982393588256,-0.06535094727808367,0.06377607546011835,,Ciliophora,Spirotrichea,Choreotrichida,Leegaardiellidae,Leegaardiella,
ASV_848,-0.10878556692910726,0.07066957641296807,0.04794725372469879,,,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa triquetra
ASV_869,0.0030890501170809837,-0.001564224337196871,0.10463038881422343,,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,
ASV_876,0.09084165143286106,0.07206663212387295,0.058745361726414515,Metazoa,Porifera,Demospongiae,Poecilosclerida,Mycalidae,Mycale,Mycale fibrexilis
