#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_7140	Eukaryota	Euglenozoa	unknown	Diplonemea	unknown	unassigned	unassigned
ASV_7163	Eukaryota	Arthropoda	Hexanauplia	Cyclopoida	Oithonidae	unknown	unassigned
ASV_7169	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	unassigned	unassigned
ASV_7170	Eukaryota	Euglenozoa	unknown	Diplonemea	unknown	unknown	Diplonemida sp. 9sb RG-2016
ASV_7186	Eukaryota	Chordata	Appendicularia	unknown	unknown	unassigned	unassigned
ASV_7196	Eukaryota	unknown	Bigyra	unassigned	unassigned	unassigned	unassigned
ASV_7199	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_7204	Eukaryota	unknown	unknown	unknown	unknown	unknown	uncultured marine eukaryote
ASV_7205	Eukaryota	unknown	Dinophyceae	Blastodiniales	unknown	unassigned	unassigned
ASV_7206	Eukaryota	unknown	Cryptophyceae	Pyrenomonadales	unassigned	unassigned	unassigned
ASV_7207	Eukaryota	Ciliophora	Spirotrichea	Choreotrichida	Strombidinopsidae	Strombidinopsis	Strombidinopsis sp. NSMS0601
ASV_7208	Eukaryota	Annelida	Polychaeta	Terebellida	Terebellidae	unassigned	unassigned
ASV_7209	Eukaryota	unknown	Bigyra	unassigned	unassigned	unassigned	unassigned
ASV_7210	Eukaryota	unknown	Dinophyceae	unassigned	unassigned	unassigned	unassigned
ASV_7211	Eukaryota	unknown	Pelagophyceae	unknown	unknown	unknown	Coccoid pelagophyte CCMP1395
ASV_7212	Eukaryota	Basidiomycota	Tremellomycetes	unassigned	unassigned	unassigned	unassigned
ASV_7213	Eukaryota	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_7214	Eukaryota	unknown	unknown	unknown	unknown	unassigned	unassigned
ASV_7215	Eukaryota	unknown	Dinophyceae	Blastodiniales	unknown	Blastodinium	Blastodinium mangini
ASV_7216	Eukaryota	unknown	unknown	unknown	unknown	unknown	uncultured marine eukaryote
ASV_7217	Eukaryota	unknown	Dinophyceae	Blastodiniales	unknown	Blastodinium	Blastodinium galatheanum
ASV_7218	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_7219	Eukaryota	Cercozoa	Thecofilosea	unknown	unknown	unassigned	unassigned
ASV_7220	Eukaryota	unknown	Phaeophyceae	Ascoseirales	unknown	unassigned	unassigned
ASV_7221	Eukaryota	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_7222	Eukaryota	unknown	Chrysophyceae	unknown	unknown	unassigned	unassigned
ASV_7223	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	unassigned	unassigned
ASV_7224	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_7225	Eukaryota	unknown	unknown	unknown	unknown	unassigned	unassigned
ASV_7226	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_7227	Eukaryota	unknown	unknown	unknown	unknown	unknown	unassigned
ASV_7228	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_7229	Eukaryota	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_7230	Eukaryota	unknown	Dinophyceae	Gymnodiniales	Tovelliaceae	unassigned	unassigned
ASV_7231	Eukaryota	unknown	unknown	unknown	unknown	unknown	uncultured marine eukaryote
ASV_7232	Eukaryota	Chytridiomycota	Chytridiomycetes	Rhizophlyctidales	Rhizophlyctidaceae	Rhizophlyctis	unassigned
ASV_7233	Eukaryota	unknown	unknown	unknown	unknown	unknown	uncultured marine eukaryote
ASV_7234	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	unassigned
ASV_7235	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_7236	Eukaryota	unknown	unknown	unknown	unknown	unassigned	unassigned
ASV_7237	Eukaryota	unknown	unknown	unknown	unknown	unassigned	unassigned
ASV_7238	Eukaryota	unknown	Dinophyceae	unassigned	unassigned	unassigned	unassigned
ASV_7239	Eukaryota	unknown	Bolidophyceae	Parmales	Triparmaceae	unassigned	unassigned
ASV_7240	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_7241	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Melosirales	Stephanopyxidaceae	unassigned	unassigned
ASV_7242	Eukaryota	Imbricatea	unknown	Euglyphida	Euglyphidae	unassigned	unassigned
ASV_7243	Eukaryota	unknown	Bigyra	unassigned	unassigned	unassigned	unassigned
ASV_7244	Eukaryota	unknown	unknown	unknown	unknown	unknown	uncultured marine eukaryote
ASV_7245	Eukaryota	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_7246	Eukaryota	Haptista	Haptophyta	Prymnesiales	Prymnesiaceae	unassigned	unassigned
ASV_7247	Eukaryota	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_7248	Eukaryota	unknown	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	unassigned
ASV_7249	Eukaryota	Discosea	unknown	Himatismenida	unknown	unassigned	unassigned
ASV_7250	Eukaryota	unknown	Dinophyceae	Coccidiniales	Chytriodiniaceae	unassigned	unassigned
ASV_7251	Eukaryota	Ciliophora	Oligohymenophorea	Philasterida	Cinetochilidae	unassigned	unassigned
ASV_7252	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
