,CN18Sc37_12_Rep_Stdy5_AO,CN18Sc37_12_Rep_Stdy10_AO,CN18Sc37_12_Rep_Stdy14_AO,CN18Sc37_12_Rep_Stdy18_AO,CN18Sc37_12_Rep_Stdy22_AO,NOAA11_AO,NOAA14_AO,NOAA20_AO,NOC2_AO,NOC9_AO,NOC12_AO,NOC31_AO,NOC51_AO,UDalhousie2_AO,UDalhousie8_AO,UDalhousie14_AO,UDalhousie20_AO,UDalhousie26_AO
CN18Sc37_12_Rep_Stdy5_AO,0.0,0.2835440127711817,0.2837634918630901,0.2809325827784971,0.31314788333103,1.3304789650267903,1.2891198070937606,1.4511281099073148,2.6488038482231695,2.650214881711346,2.5544970121136132,2.495903417945422,2.6556052477967715,2.6326859927970796,2.7463531194857356,2.637815289606855,2.665468262156163,2.721658683789964
CN18Sc37_12_Rep_Stdy10_AO,0.2835440127711817,0.0,0.1524063786040438,0.14148542622243251,0.17683506054032447,1.4488861381166251,1.4143476747058903,1.5894374646355982,2.7481274440985732,2.7430778288919133,2.650771299502632,2.5913638655991607,2.7471537939649986,2.4619578693711435,2.5810432594668504,2.4686140106406964,2.498770341425179,2.5571255543134948
CN18Sc37_12_Rep_Stdy14_AO,0.2837634918630901,0.1524063786040438,0.0,0.10457942625735347,0.21676229375713454,1.544572276328462,1.505471773114162,1.6792329233675134,2.846518921438634,2.8422857615044372,2.746320676469079,2.693236003819542,2.84796967641895,2.602782559580696,2.721853150935786,2.609297377196989,2.640425828816376,2.6966566683803492
CN18Sc37_12_Rep_Stdy18_AO,0.2809325827784971,0.14148542622243251,0.10457942625735347,0.0,0.11507637067434094,1.4725724923090586,1.4329191190994857,1.610931657331154,2.7649704765905367,2.759169525052833,2.6621655952121404,2.613077304534653,2.765487677924189,2.5456886047489236,2.6620097559104834,2.551051382098531,2.5828747959036,2.634206408007487
CN18Sc37_12_Rep_Stdy22_AO,0.31314788333103,0.17683506054032447,0.21676229375713454,0.11507637067434094,0.0,1.3870332550416655,1.3482005523963392,1.5304410060725169,2.6685402892789822,2.661033618179421,2.5640928340939273,2.517024590183381,2.6674985282050794,2.460206319241786,2.573876949706701,2.4645278511003705,2.4967173415517903,2.544002482442669
NOAA11_AO,1.3304789650267903,1.4488861381166251,1.544572276328462,1.4725724923090586,1.3870332550416655,0.0,0.06784468038610429,0.1756162280189008,1.3271576796490954,1.334451222827485,1.2472945200762653,1.1711685872537962,1.3370772404100955,2.2867697247559917,2.345644682934289,2.278802422745473,2.2932701565281057,2.310940832343181
NOAA14_AO,1.2891198070937606,1.4143476747058903,1.505471773114162,1.4329191190994857,1.3482005523963392,0.06784468038610429,0.0,0.19682769326762004,1.3655380085730995,1.3727860220430235,1.2815412372401107,1.2135678664226572,1.3771771638569403,2.3278219788611922,2.388292951647592,2.3199456968119962,2.3355667219084384,2.3525614024564856
NOAA20_AO,1.4511281099073148,1.5894374646355982,1.6792329233675134,1.610931657331154,1.5304410060725169,0.1756162280189008,0.19682769326762004,0.0,1.2332083582516948,1.249009041755343,1.1630197117652743,1.0824534532668546,1.2517698911620907,2.4134074072150744,2.4670968131512456,2.404847690995429,2.4169279392056424,2.4335252028011016
NOC2_AO,2.6488038482231695,2.7481274440985732,2.846518921438634,2.7649704765905367,2.6685402892789822,1.3271576796490954,1.3655380085730995,1.2332083582516948,0.0,0.0758301717238,0.15823929621367175,0.1802617035811867,0.07873345540627325,2.6359386452797033,2.620295416637975,2.6152512673853976,2.616071370415357,2.577763163529851
NOC9_AO,2.650214881711346,2.7430778288919133,2.8422857615044372,2.759169525052833,2.661033618179421,1.334451222827485,1.3727860220430235,1.249009041755343,0.0758301717238,0.0,0.13109695784774045,0.1972089323905745,0.044285790217466446,2.59258667407555,2.574812197425858,2.5712633833152645,2.572724445591164,2.5306169514388306
