"","ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"74","ASV_10063",NA,NA,"Dinophyceae",NA,NA,NA,NA
"75","ASV_10064",NA,NA,"Dinophyceae",NA,NA,NA,NA
"76","ASV_10065",NA,NA,NA,NA,NA,NA,NA
"77","ASV_10066",NA,NA,"Dinophyceae",NA,NA,NA,NA
"78","ASV_10067",NA,NA,"Dinophyceae",NA,NA,NA,NA
"79","ASV_10068",NA,NA,NA,NA,NA,NA,NA
"80","ASV_10069",NA,NA,NA,NA,NA,NA,NA
"81","ASV_1007","Viridiplantae","Chlorophyta","Pyramimonadophyceae","Pyramimonadales","Pyramimonadaceae","Pyramimonas","Pyramimonas australis"
"82","ASV_10070",NA,NA,NA,NA,NA,NA,NA
"83","ASV_10071",NA,NA,NA,NA,NA,NA,NA
"84","ASV_10072",NA,NA,NA,NA,NA,NA,NA
"85","ASV_10073",NA,NA,"Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya",NA
"86","ASV_10074",NA,NA,NA,NA,NA,NA,NA
"87","ASV_10075",NA,NA,NA,NA,NA,NA,NA
"88","ASV_10076",NA,NA,"Dinophyceae",NA,NA,NA,NA
"89","ASV_10077",NA,NA,"Dinophyceae","Gonyaulacales","Amphidomataceae",NA,NA
"90","ASV_10078",NA,NA,NA,NA,NA,NA,NA
"91","ASV_10079",NA,NA,NA,NA,NA,NA,NA
"92","ASV_1008",NA,NA,NA,NA,NA,NA,NA
"93","ASV_10080",NA,NA,NA,NA,NA,NA,NA
"94","ASV_10081",NA,NA,NA,NA,NA,NA,NA
"95","ASV_10082",NA,NA,"Acantharea",NA,NA,NA,"Uncultured marine acantharean DH147-EKD17"
"96","ASV_10083",NA,NA,"Polycystinea",NA,NA,NA,NA
"97","ASV_10084",NA,NA,"Dinophyceae","Coccidiniales","Chytriodiniaceae",NA,NA
"98","ASV_10085",NA,NA,NA,"Sticholonchida","Sticholonchidae",NA,NA
"99","ASV_10086",NA,NA,"Dinophyceae","Syndiniales","Syndiniaceae",NA,NA
"100","ASV_10087",NA,NA,NA,NA,NA,NA,NA
"101","ASV_10088","Metazoa","Arthropoda","Hexanauplia","Poecilostomatoida","Oncaeidae","Oncaea",NA
"102","ASV_10089",NA,NA,NA,NA,NA,NA,NA
"103","ASV_1009","Viridiplantae","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas",NA
"104","ASV_10090",NA,NA,"Polycystinea","Collodaria","Sphaerozoidae",NA,NA
"105","ASV_10091",NA,NA,"Dinophyceae",NA,NA,NA,NA
"106","ASV_10092","Metazoa","Ctenophora","Tentaculata",NA,NA,NA,NA
"107","ASV_10093",NA,NA,NA,NA,NA,NA,NA
"108","ASV_10094",NA,NA,"Polycystinea",NA,NA,NA,NA
"109","ASV_10095",NA,NA,"Dinophyceae","Peridiniales","Protoperidiniaceae","Protoperidinium",NA
"110","ASV_10096",NA,NA,"Dinophyceae",NA,NA,NA,NA
"111","ASV_10097",NA,"Bacillariophyta","Bacillariophyceae",NA,NA,NA,NA
"112","ASV_10098",NA,NA,NA,NA,NA,NA,NA
"113","ASV_10099",NA,"Euglenozoa","Diplonemea",NA,NA,NA,"Diplonemida sp. 1sb RG-2016"
"114","ASV_101",NA,"Haptophyta",NA,"Isochrysidales","Noelaerhabdaceae","Emiliania","Emiliania huxleyi"
"115","ASV_1010",NA,"Bacillariophyta","Mediophyceae",NA,NA,NA,NA
"116","ASV_10100",NA,"Ciliophora","Oligohymenophorea","Apostomatida","Foettingeriidae",NA,NA
"117","ASV_10101",NA,NA,NA,NA,NA,NA,NA
"118","ASV_10102","Metazoa","Cnidaria","Hydrozoa","Siphonophorae","Resomiidae","Resomia","Resomia ornicephala"
"119","ASV_10103",NA,NA,"Dinophyceae",NA,NA,NA,NA
"120","ASV_10104","Metazoa","Arthropoda","Hexanauplia","Calanoida",NA,NA,NA
"121","ASV_10105",NA,NA,NA,NA,NA,NA,NA
"122","ASV_10106",NA,"Ciliophora","Spirotrichea","Urostylida","Pseudokeronopsidae",NA,NA
"123","ASV_10107",NA,NA,"Polycystinea",NA,NA,NA,NA
"124","ASV_10108",NA,NA,NA,NA,NA,NA,NA
"125","ASV_10109",NA,NA,NA,NA,NA,NA,NA
"126","ASV_1011",NA,NA,NA,NA,NA,NA,NA
"127","ASV_10110",NA,"Ciliophora","Oligohymenophorea","Philasterida","Cinetochilidae",NA,NA
"128","ASV_10111",NA,"Euglenozoa","Diplonemea",NA,NA,NA,"Diplonemida sp. 21 RG-2016"
"129","ASV_10112",NA,NA,NA,NA,NA,NA,NA
"130","ASV_10113",NA,NA,NA,NA,NA,NA,NA
"131","ASV_10114",NA,NA,"Dinophyceae",NA,NA,NA,NA
"132","ASV_10115",NA,NA,"Dinophyceae",NA,NA,NA,NA
"133","ASV_10116",NA,NA,"Polycystinea","Collodaria","Sphaerozoidae","Sphaerozoum",NA
"134","ASV_10117",NA,NA,"Dinophyceae",NA,NA,NA,NA
"135","ASV_10118","Metazoa","Mollusca","Gastropoda","Pteropoda",NA,NA,NA
"136","ASV_10119",NA,NA,"Dinophyceae",NA,NA,NA,NA
"137","ASV_1012",NA,NA,"Dinophyceae","Blastodiniales",NA,"Blastodinium","Blastodinium contortum"
"138","ASV_10120",NA,NA,"Dinophyceae","Syndiniales","Ellobiopsidae","Thalassomyces","Thalassomyces fagei"
"139","ASV_10121",NA,NA,NA,NA,NA,NA,NA
"140","ASV_10122",NA,NA,NA,NA,NA,NA,NA
"141","ASV_10123",NA,NA,"Dinophyceae",NA,NA,NA,NA
"142","ASV_10124",NA,NA,"Dinophyceae",NA,NA,NA,NA
"143","ASV_10125",NA,"Bacillariophyta","Fragilariophyceae",NA,NA,NA,NA
"144","ASV_10126",NA,NA,NA,NA,NA,NA,NA
"145","ASV_10127",NA,NA,"Dinophyceae","Peridiniales","Protoperidiniaceae","Protoperidinium",NA
"146","ASV_10128",NA,NA,"Acantharea",NA,NA,NA,NA
"147","ASV_10129","Metazoa","Cnidaria","Hydrozoa","Leptothecata","Eirenidae","Eutonina","Eutonina indicans"
"148","ASV_1013",NA,NA,"Dinophyceae",NA,NA,NA,NA
"149","ASV_10130",NA,NA,"Polycystinea","Collodaria","Sphaerozoidae",NA,NA
"150","ASV_10131",NA,NA,"Dinophyceae",NA,NA,NA,NA
"151","ASV_10132",NA,NA,NA,NA,NA,NA,NA
"152","ASV_10133",NA,NA,NA,NA,NA,NA,NA
"153","ASV_10134",NA,NA,NA,NA,NA,NA,NA
"154","ASV_10135",NA,NA,NA,NA,NA,NA,NA
"155","ASV_10136",NA,NA,"Dinophyceae","Gymnodiniales","Kareniaceae",NA,NA
