ASV,Kingdom,Domain,Phylum,Class,Order,Family,Genus,Species,taxonomy,Supergroup
ASV_7548,Eukaryota,Hacrobia,Centroheliozoa,Centroheliozoa_X,Centroheliozoa_XX,Centroheliozoa_XXX,Centroheliozoa_XXXX,Centroheliozoa,"Eukaryota,d:Hacrobia,p:Centroheliozoa,c:Centroheliozoa_X,o:Centroheliozoa_XX,f:Centroheliozoa_XXX,g:Centroheliozoa_XXXX,s:Centroheliozoa_XXXX_sp.",not_provided
ASV_2493,Eukaryota,TSAR,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,Cephaloidophoridae,Cephaloidophoridae,Eukaryota;TSAR;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Cephaloidophoridae;Cephaloidophoridae_X;Cephaloidophoridae_X_sp.;,not_provided
ASV_4101,Eukaryota,TSAR,Rhizaria,Cercozoa,Cercozoa_X,Cercozoa_XX,Cercozoa_XXX,Cercozoa,Eukaryota;TSAR;Rhizaria;Cercozoa;Cercozoa_X;Cercozoa_XX;Cercozoa_XXX;Cercozoa_XXXX;Cercozoa_XXXX_sp.;,not_provided
ASV_6410,Eukaryota,Rhizaria,Cercozoa,Chlorarachniophyceae,Chlorarachnida,Chlorarachnida_X,Chlorarachnida_XX,Chlorarachnida,"Eukaryota,d:Rhizaria,p:Cercozoa,c:Chlorarachniophyceae,o:Chlorarachnida,f:Chlorarachnida_X,g:Chlorarachnida_XX,s:Chlorarachnida_XX_sp.",not_provided
ASV_7048,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Chlorodendrales,Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Chlorodendrophyceae;Chlorodendrales;Chlorodendraceae;Chlorodendrales_XX;Chlorodendrales_X_sp.;,not_provided
ASV_6264,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyta_XX,Chlorophyta_XXX,Chlorophyta_XXXX,Chlorophyta,"Eukaryota,d:Archaeplastida,p:Chlorophyta,c:Chlorophyta_X,o:Chlorophyta_XX,f:Chlorophyta_XXX,g:Chlorophyta_XXXX,s:Chlorophyta_XXXX_sp.",not_provided
ASV_14074,Obazoa,Eukaryota,Choanoflagellata,Choanoflagellatea,Choanoflagellatea_X,Choanoflagellata_XX_Clade-3,Choanoflagellata_XX_Clade-3_X,ChoanoflagellataClade-3,not_provided,Opisthokonta
ASV_5808,Eukaryota,Obazoa,Opisthokonta,Choanoflagellata,Choanoflagellatea,Choanoflagellatea_X,Choanoflagellatea_XX,Choanoflagellatea,Eukaryota;Obazoa;Opisthokonta;Choanoflagellata;Choanoflagellatea;Choanoflagellatea_X;Choanoflagellatea_XX;Choanoflagellatea_XXX;Choanoflagellatea_XXX_sp.;,not_provided
ASV_10906,Obazoa,Eukaryota,Choanoflagellata,Choanoflagellatea,Choanoflagellatea_X,Choanoflagellatea_XX_Group_L,Choanoflagellatea_XXX_Group_L_X,ChoanoflagellateaGroupL,not_provided,Opisthokonta
ASV_5915,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellida_X,Choanoflagellida_XX,Choanoflagellida_XXX,Choanoflagellida_XXXX,Choanoflagellida,"Eukaryota,d:Opisthokonta,p:Choanoflagellida,c:Choanoflagellida_X,o:Choanoflagellida_XX,f:Choanoflagellida_XXX,g:Choanoflagellida_XXXX,s:Choanoflagellida_XXXX_sp.",not_provided
ASV_188,Eukaryota,TSAR,Alveolata,Ciliophora,Spirotrichea,Choreotrichida,Choreotrichida_X,Choreotrichida,Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea;Choreotrichida;Choreotrichida_X;Choreotrichida_XX;Choreotrichida_XX_sp.;,not_provided
ASV_13918,TSAR,Eukaryota,Ciliophora,Spirotrichea,Choreotrichida-Tintinnina,Choreotrichida-Tintinnina_X,Tintinnina_XX,Choreotrichida-Tintinnina,not_provided,Alveolata
ASV_2721,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_XX,Chrysophyceae,Eukaryota;TSAR;Stramenopiles;Gyrista;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_XX;Chrysophyceae_XXX;Chrysophyceae_XXX_sp.;,not_provided
ASV_3019,Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade-C,Chrysophyceae_Clade-C_X,ChrysophyceaeClade-C,"Eukaryota,d:Stramenopiles,p:Ochrophyta,c:Chrysophyceae,o:Chrysophyceae_X,f:Chrysophyceae_Clade-C,g:Chrysophyceae_Clade-C_X,s:Chrysophyceae_Clade-C_X_sp.",not_provided
ASV_936,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Chrysophyceae_Clade-EC2H,Chrysophyceae_Clade-EC2H_X,ChrysophyceaeClade-EC2H,Eukaryota;TSAR;Stramenopiles;Gyrista;Chrysophyceae;Chrysophyceae_Clade-EC2H;Chrysophyceae_Clade-EC2H_X;Chrysophyceae_Clade-EC2H_XX;Chrysophyceae_Clade-EC2H_XX_sp.;,not_provided
