ASV,domain,kingdom,supergroup,division,subdivision,class,order,family,genus,species
ASV_233,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_234,Eukaryota,unassigned,TSAR,Rhizaria,Cercozoa,Filosa-Thecofilosea,Cryomonadida,Protaspa-lineage,Protaspa-lineage_X,Protaspa-lineage_X_sp.
ASV_235,Eukaryota,unassigned,TSAR,Stramenopiles,Gyrista,Gyrista_X,Gyrista_XX,MAST-2,unassigned,unassigned
ASV_236,Eukaryota,unassigned,unassigned,unassigned,unassigned,Cryptophyceae,unassigned,unassigned,unassigned,unassigned
ASV_237,Eukaryota,unassigned,TSAR,Stramenopiles,Gyrista,Pelagophyceae,Pelagomonadales,Pelagomonadaceae,Aureococcus,Aureococcus_anophagefferens
ASV_238,Eukaryota,unassigned,TSAR,Telonemia,Telonemia_X,Telonemia_XX,Telonemia_XXX,Telonemia-Group-2,Telonemia-Group-2_X,Telonemia-Group-2_X_sp.
ASV_239,Eukaryota,unassigned,unassigned,Ciliophora,unassigned,Spirotrichea,unassigned,Strombidiidae,Strombidium,unassigned
ASV_240,Eukaryota,unassigned,TSAR,Alveolata,Ciliophora,Ciliophora_X,Ciliophora_XX,Ciliophora_XXX,Mesodinium,Mesodinium_sp.
ASV_241,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_242,Eukaryota,unassigned,unassigned,Chlorophyta,unassigned,Mamiellophyceae,Mamiellales,Mamiellales,Bathycoccus,unassigned
ASV_243,Eukaryota,unassigned,unassigned,Haptista,unassigned,Haptophyta,unassigned,unassigned,unassigned,unassigned
ASV_244,Eukaryota,unassigned,Obazoa,Opisthokonta,Ichthyosporea,Ichthyophonida,Pseudoperkinsidae,Pseudoperkinsidae_X,Pseudoperkinsus,Pseudoperkinsus_tapetis
ASV_245,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_246,Eukaryota,unassigned,Archaeplastida,Chlorophyta,Chlorophyta_X,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,Pyramimonas_gelidicola
ASV_247,Eukaryota,unassigned,unassigned,unassigned,unassigned,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Paulsenella,Paulsenella_vonstoschii
ASV_248,Eukaryota,unassigned,unassigned,Chlorophyta,unassigned,Prasinophytae,Prasinophytae,Prasinophytae,Prasinophytae,Pyramimonas_australis
ASV_249,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_250,Eukaryota,unassigned,TSAR,Alveolata,Ciliophora,Spirotrichea,Oligotrichida,Tontoniidae,Pseudotontonia,Pseudotontonia_sp.
ASV_251,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_252,Eukaryota,unassigned,unassigned,Cryptophyceae,unassigned,Cryptophyceae,Cryptomonadales,Cryptomonadales,Cryptomonadales,uncultured_marine
