,Davenport_02_0008,Davenport_06_0008,Davenport_11_0008,Davenport_15_0008,Davenport_19_0008,Framstrait_01_0008,Framstrait_05_0008,Framstrait_09_0008,Framstrait_13_0008,Framstrait_17_0008,Bedford_01_0049,Bedford_07_0049,Bedford_13_0049,Bedford_19_0049,Bedford_25_0049,Davenport_02_0049,Davenport_06_0049,Davenport_11_0049,Davenport_15_0049,Davenport_19_0049,Framstrait_01_0049,Framstrait_05_0049,Framstrait_09_0049,Framstrait_13_0049,Framstrait_17_0049,LaJolla_03_0049,LaJolla_09_0049,LaJolla_15_0049,LaJolla_21_0049,LaJolla_27_0049,Plymouth_06_0049,Plymouth_13_0049,Plymouth_19_0049,Plymouth_29_0049,Plymouth_30_0049
Davenport_02_0008,0.0,0.05461772697593579,0.14304199162004572,0.25564799250935094,0.2668025342791591,2.223301285114969,2.1738624720136577,1.8727660032542652,2.1740321987394235,2.072989834397421,2.3338768131269014,2.148390938563287,2.0959242702248644,2.01389680524091,2.1758547954826977,0.5435915694772206,0.5969408377883647,0.5792149176829549,0.45815236308957424,0.44539994562641655,2.3625727529208707,2.4185679453435927,2.4343035071888885,2.374240393585623,2.431777174697111,2.7152196464772365,2.7477942371960338,2.4956449239668173,2.6946220125060596,2.7101089608656443,2.268516509396213,2.275382151943353,2.4307152679781296,2.2328953972220194,2.2361410196750957
Davenport_06_0008,0.05461772697593579,0.0,0.11464582730953879,0.27459407943861475,0.2549350236342931,2.2462544245767258,2.1953727693156995,1.8909300415546373,2.1955660485977657,2.09375550668577,2.3261050747623564,2.1417507297127165,2.0881588742764565,2.0055867384448436,2.170174146336078,0.562737575273766,0.6193647479997227,0.6040467991494525,0.47093726870482444,0.4533520320404957,2.3875318587964625,2.442058936212385,2.4563894287133494,2.397704432381376,2.4537081280241857,2.670957289891736,2.702669300028113,2.451350437746979,2.650050541658463,2.6652055808076955,2.25298336232444,2.25878191346206,2.4112352643759953,2.21466023588207,2.217766077444604
Davenport_11_0008,0.14304199162004572,0.11464582730953879,0.0,0.22295341890279274,0.14816633092778114,2.3591597369005486,2.3079218155302343,2.0038056540755678,2.3079507682908558,2.2061833662584958,2.426943041496863,2.243014869642666,2.1879856278781853,2.105768459199611,2.272276108137161,0.5262941791574057,0.5827687477131638,0.563166605225229,0.42839373060624975,0.38467383978296915,2.5008712790779657,2.555704894343991,2.5699512060176577,2.511502664512266,2.567517120677785,2.704261037379806,2.7330578917866473,2.4843196755180252,2.682190108565194,2.696571687622105,2.339458742502634,2.3451346645203333,2.4939244278924195,2.2975240407994892,2.2979777338288714
Davenport_15_0008,0.25564799250935094,0.27459407943861475,0.22295341890279274,0.0,0.16445944246438357,2.42040063608648,2.376970344966594,2.085173529216993,2.3774733515331485,2.278945115802655,2.5513186717998284,2.3603425273221257,2.30585777913949,2.2296899770693406,2.3871664409020386,0.33047519881429116,0.376610959687728,0.3473227083413464,0.25123695539551777,0.2070351208094363,2.5483860818385047,2.6092192533646483,2.631132552076218,2.563831972113814,2.6277605253485183,2.896053084206998,2.926399294980381,2.67294960897719,2.8731796994716174,2.8915109167462116,2.4565685820666414,2.468840352803285,2.6250031696156,2.4203410880490654,2.4136050631344874
Davenport_19_0008,0.2668025342791591,0.2549350236342931,0.14816633092778114,0.16445944246438357,0.0,2.488832724622379,2.4397790338906558,2.139385130770235,2.4398462173286486,2.3390291260186022,2.5635938912306875,2.377579183543538,2.3213104071443955,2.241466619444729,2.40684581578442,0.4474060202718309,0.49903879204932333,0.473329982095921,0.35146992731176435,0.27340911214408503,2.6264958320629153,2.6835012664432156,2.7001727908165676,2.638960426123923,2.6975778155264143,2.8003257169463405,2.8269083413003746,2.5792017443049513,2.7768831683553192,2.79199787723432,2.4597783139932536,2.467572799817286,2.615370835144994,2.416358675555565,2.4118701836681278
Framstrait_01_0008,2.223301285114969,2.2462544245767258,2.3591597369005486,2.42040063608648,2.488832724622379,0.0,0.10625465848363386,0.40586331745262666,0.11736043242174474,0.198770664731832,1.47223556858969,1.416479795147357,1.461706065028103,1.4193235592747742,1.392447191278363,2.552127435259729,2.577565590289142,2.5773780115485794,2.528616946871666,2.587501516721982,0.23294941845078654,0.24568538870158568,0.2283576138818081,0.2386337635301595,0.24528336640984108,3.1955788205853803,3.2630334271916093,3.057541132169009,3.2023404249999015,3.2160139713306473,1.9513970970262113,1.9491831974147882,2.110426212704185,2.0260949666024577,2.1021995005456944
Framstrait_05_0008,2.1738624720136577,2.1953727693156995,2.3079218155302343,2.376970344966594,2.4397790338906558,0.10625465848363386,0.0,0.3311778308679714,0.017044385536805637,0.10801672127178705,1.443673470054009,1.3890876759477429,1.4330944591395074,1.383290978799972,1.3675707422527161,2.5203884147151645,2.547695172255122,2.546214905462079,2.492974790308366,2.5481595153529097,0.3378850142186862,0.34040938297872936,0.30192848472439154,0.3352942891853191,0.3223951161024132,3.125809666493111,3.1919493259952505,2.9889512126620565,3.1327959934680436,3.1440399786052255,1.9277629836674992,1.9215936313829383,2.080493216773888,1.9978498283021935,2.0775854699600758
Framstrait_09_0008,1.8727660032542652,1.8909300415546373,2.0038056540755678,2.085173529216993,2.139385130770235,0.40586331745262666,0.3311778308679714,0.0,0.3328216685080091,0.2279105157435411,1.2981190072945301,1.2127503989709982,1.2425978177791837,1.175433252677614,1.2005861232684407,2.2396476218911134,2.271699793561384,2.2712755551999626,2.205093154965802,2.2578479229082347,0.6046111299973604,0.6224032667775841,0.6006373727240903,0.5942218881026002,0.6059703512521839,2.8636425275479276,2.9278910389079598,2.7158158835791295,2.8681473940497897,2.87977113934491,1.7308791356612911,1.7227038296960537,1.888280535709689,1.7871245488223428,1.8649095281488939
Framstrait_13_0008,2.1740321987394235,2.1955660485977657,2.3079507682908558,2.3774733515331485,2.4398462173286486,0.11736043242174474,0.017044385536805637,0.3328216685080091,0.0,0.10659617948136256,1.4540297535644724,1.3999876798446944,1.4438827810643353,1.3931171522473007,1.3787650724432843,2.522628071457257,2.5499172602907123,2.547983295533705,2.4949645228808057,2.5494273367728884,0.34935757853000726,0.35158139055768706,0.31097808946219263,0.3483504031785327,0.3331885631247881,3.129511379319295,3.19537037964249,2.992915329477729,3.136550598466334,3.1472732178635083,1.9390702080354953,1.9323861645005758,2.090874902466762,2.0085689427516478,2.088752725652407
Framstrait_17_0008,2.072989834397421,2.09375550668577,2.2061833662584958,2.278945115802655,2.3390291260186022,0.198770664731832,0.10801672127178705,0.2279105157435411,0.10659617948136256,0.0,1.4108304594787042,1.3468833301520369,1.3865191116014741,1.3301142002372632,1.3284789324089057,2.427915526090944,2.456437982511344,2.4545180373512485,2.398268646912817,2.4517371725544663,0.42526419235358376,0.43614037846454146,0.4036567815354349,0.4222551041578486,0.41945140225376254,3.050214075428982,3.115364077377779,2.9099664839493737,3.056444783068603,3.067101638285944,1.881085123872312,1.873798675744121,2.0347911477385514,1.946280093356313,2.0258828023424083
Bedford_01_0049,2.3338768131269014,2.3261050747623564,2.426943041496863,2.5513186717998284,2.5635938912306875,1.47223556858969,1.443673470054009,1.2981190072945301,1.4540297535644724,1.4108304594787042,0.0,0.21103584253406193,0.27373793853772516,0.32398004124652735,0.20076298468322193,2.6592008346572755,2.7106795812631037,2.7379916234285377,2.6057307404075836,2.673362568184267,1.526610632505106,1.4914609486057726,1.4695527492213738,1.459715046955257,1.4432674659150129,1.9900232606734802,2.071224859434662,1.8823333141451697,2.000206691213012,2.0375079951794346,0.6113753196798647,0.5791325521995819,0.6816788152541257,0.6904055436877647,0.7992193526890352
Bedford_07_0049,2.148390938563287,2.1417507297127165,2.243014869642666,2.3603425273221257,2.377579183543538,1.416479795147357,1.3890876759477429,1.2127503989709982,1.3999876798446944,1.3468833301520369,0.21103584253406193,0.0,0.0820159579955461,0.1554347721707272,0.04731682972046075,2.4586943363602383,2.509327476928696,2.537894378535402,2.4076115185011386,2.4783684713529115,1.4734906766175022,1.4504762421297623,1.4383573081660397,1.4122485039929698,1.410870931010575,2.0035942814993994,2.0840505000520264,1.8740297919072337,2.0096638821287702,2.0501653788062657,0.5549080816057022,0.5399912345135501,0.6943337168144079,0.6319561552959777,0.7272053308730945
Bedford_13_0049,2.0959242702248644,2.0881588742764565,2.1879856278781853,2.30585777913949,2.3213104071443955,1.461706065028103,1.4330944591395074,1.2425978177791837,1.4438827810643353,1.3865191116014741,0.27373793853772516,0.0820159579955461,0.0,0.11942143905447988,0.1239339090441307,2.401250566639673,2.4526345696692697,2.482294238019589,2.349402485603652,2.420373429755272,1.522003779076692,1.5027840406676534,1.4928394645422671,1.4628706225498673,1.4654912461697622,1.9557342004333869,2.0361184342674203,1.8201809751293068,1.9604460327873157,2.0028116130046345,0.5014301516090772,0.4886112241462768,0.654808753715623,0.5718456917121344,0.6645140897092989
