#OTUID	Davenport_02_0008	Davenport_06_0008	Davenport_11_0008	Davenport_15_0008	Davenport_19_0008	Framstrait_01_0008	Framstrait_05_0008	Framstrait_09_0008	Framstrait_13_0008	Framstrait_17_0008	Bedford_01_0049	Bedford_07_0049	Bedford_13_0049	Bedford_19_0049	Bedford_25_0049	blank_01_0049	bloomMock_01_0049	bloomMock_02_0049	bloomMock_03_0049	bloomMock_04_0049	bloomMock_05_0049	Davenport_02_0049	Davenport_06_0049	Davenport_11_0049	Davenport_15_0049	Davenport_19_0049	evenMock_01_0049	evenMock_02_0049	evenMock_03_0049	evenMock_04_0049	evenMock_05_0049	Framstrait_01_0049	Framstrait_05_0049	Framstrait_09_0049	Framstrait_13_0049	Framstrait_17_0049	LaJolla_03_0049	LaJolla_09_0049	LaJolla_15_0049	LaJolla_21_0049	LaJolla_27_0049	Plymouth_06_0049	Plymouth_13_0049	Plymouth_19_0049	Plymouth_29_0049	Plymouth_30_0049
ASV_11471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.0	153.0	106.0	45.0	75.0	0.0	0.0	0.0	0.0	0.0
ASV_11472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.0	145.0	34.0	65.0	103.0	0.0	0.0	0.0	0.0	0.0
ASV_11473	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	38.0	29.0	15.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	77.0	50.0	67.0	72.0	76.0
ASV_11474	0.0	0.0	0.0	0.0	0.0	23.0	61.0	4.0	57.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	67.0	29.0	86.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_11475	0.0	0.0	0.0	0.0	0.0	25.0	22.0	5.0	26.0	11.0	9.0	2.0	5.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	34.0	18.0	45.0	36.0	34.0	71.0	9.0	7.0	25.0	0.0	0.0	0.0	0.0	0.0
ASV_11476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	392.0	2.0	0.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0
ASV_11477	25.0	26.0	17.0	59.0	16.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.0	53.0	37.0	47.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0
ASV_11478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.0	101.0	49.0	65.0	80.0	2.0	0.0	0.0	2.0	4.0
ASV_11479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	76.0	113.0	143.0	44.0
ASV_11480	1.0	3.0	0.0	1.0	0.0	4.0	6.0	2.0	1.0	4.0	32.0	16.0	14.0	14.0	27.0	1.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	4.0	1.0	5.0	1.0	0.0	0.0	0.0	1.0	35.0	65.0	27.0	57.0	66.0
ASV_11481	0.0	0.0	1.0	1.0	0.0	34.0	36.0	6.0	13.0	9.0	54.0	12.0	10.0	13.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	48.0	26.0	31.0	26.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
ASV_11482	15.0	17.0	16.0	38.0	30.0	0.0	0.0	0.0	0.0	0.0	9.0	2.0	6.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	40.0	51.0	27.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	9.0	9.0	12.0
ASV_11483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	51.0	71.0	42.0	45.0	67.0	0.0	0.0	0.0	0.0	0.0	5.0	6.0	5.0	3.0	5.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_11484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.0	72.0	62.0	49.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	6.0	0.0	0.0	0.0	4.0	0.0	0.0	1.0	2.0
ASV_11485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	37.0	30.0	24.0	24.0	26.0	0.0	0.0	0.0	0.0	0.0	38.0	43.0	37.0	34.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_11486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.0	94.0	101.0	35.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	18.0	3.0	2.0	1.0
ASV_11487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	405.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_11488	5.0	7.0	5.0	6.0	1.0	71.0	54.0	3.0	9.0	9.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	8.0	11.0	7.0	2.0	0.0	0.0	0.0	0.0	0.0	81.0	63.0	18.0	18.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_11489	0.0	0.0	0.0	0.0	0.0	26.0	53.0	18.0	40.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	35.0	62.0	40.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
